date,pce_mom,core_pce_mom,pce_yoy,core_pce_yoy,pce_ann3,core_pce_ann3,real_pce,real_pce_mom,real_dpi,real_dpi_mom,saving_rate,unrate,payems,payroll_change
2020-08-01,0.2792174262273184,0.29160353354868995,1.157519050834388,1.3931038469319867,3.619333821366344,3.2613036938810014,13793.0,0.8002338582964841,16542.0,-3.8417941161083435,13.9,8.4,140821.0,1566.0
2020-09-01,0.17831601029845157,0.15868038729416334,1.27635371578958,1.4796915464076354,3.0534381632055574,3.2718331565959824,13964.6,1.2441093308199758,16633.7,0.5543465119090873,13.3,7.8,141770.0,949.0
2020-10-01,0.08947523725215678,0.09202162982639983,1.1874861668446979,1.4217326104510208,2.2097441797888973,2.1904992735241047,14007.1,0.3043409764690752,16573.6,-0.3613146804379186,12.8,6.9,142460.0,690.0
2020-11-01,0.10175842360033993,0.09288483228599986,1.186264708144269,1.453521884486797,1.488161001878896,1.3829785212027046,13970.3,-0.26272390430568393,16381.8,-1.1572621518559645,12.0,6.7,142733.0,273.0
2020-12-01,0.41897052955595093,0.2755551347000562,1.334522131784066,1.508790092214496,2.4668851154558524,1.8570209552591477,14026.7,0.4037135924067625,16397.7,0.09705893125298015,11.8,6.7,142548.0,-185.0
2021-01-01,0.42384506948978107,0.36356425171866213,1.5857976839888988,1.6974939477738316,3.8430100692592895,2.966850858699388,14204.7,1.2690083911397476,18194.0,10.954585094251023,19.5,6.4,142863.0,315.0
2021-02-01,0.33255767944453396,0.20699842869373875,1.8427318715156016,1.7094670091967412,4.804028379680281,3.437215027941143,14074.1,-0.9194139967757198,16697.3,-8.226338353303287,13.0,6.2,143380.0,517.0
2021-03-01,0.5201877934272403,0.40562999408455536,2.669006722866385,2.1991360195733556,5.2272163960066065,3.9749645614657325,14680.0,4.305071016974438,20520.0,22.894120606325586,26.2,6.1,144232.0,852.0
2021-04-01,0.526836923421814,0.5844781311662439,3.6402858298503427,3.1306032044336574,5.659553138977613,4.893443806316067,14796.0,0.7901907356948179,17420.7,-15.103801169590636,12.4,6.1,144587.0,355.0
2021-05-01,0.5175714099871831,0.5029844363041214,4.07246348925363,3.5411199019175887,6.441058415295697,6.138259861234352,14771.4,-0.16626115166261668,16922.4,-2.860390225421472,10.0,5.8,145065.0,478.0
2021-06-01,0.5407903859486973,0.46623928065938625,4.306128320705871,3.8617128102137466,6.528349778262865,6.394771030442659,14892.6,0.8205044884032731,16838.1,-0.49815628988797434,8.8,5.9,145820.0,755.0
2021-07-01,0.4560500183891092,0.418957119048291,4.473216164011551,3.92711817566731,6.228614851802883,5.696168285337877,14869.0,-0.15846796395525553,16949.3,0.6604070530523032,9.5,5.4,146762.0,942.0
2021-08-01,0.3825876839715914,0.32184709053897365,4.580909697720981,3.9584580447155737,5.659151179384647,4.9362375647969525,14970.2,0.6806106664873246,16917.1,-0.1899783471883798,8.7,5.1,147314.0,552.0
2021-09-01,0.3282455276546914,0.21204836896415724,4.737428253233955,4.013850678303776,4.768519750450229,3.8782592029124485,14990.6,0.13627072450601574,16728.5,-1.1148482896004563,7.6,4.7,147771.0,457.0
2021-10-01,0.6616136830434272,0.498900958583004,5.336135652537788,4.436672448273571,5.628708728539511,4.20944563054193,15085.5,0.6330633863887991,16733.5,0.029889111396719237,7.0,4.5,148572.0,801.0
2021-11-01,0.666293494158654,0.5281881874614314,5.93019057933839,4.8908669097107005,6.827911171391143,5.069442641326449,15115.9,0.20151801398693436,16686.4,-0.2814713000866442,6.6,4.1,149230.0,658.0
2021-12-01,0.6197309417040442,0.5849959375282099,6.141969176624196,5.2145501246505965,8.074808008560574,6.642294793963166,15059.2,-0.3751017140891322,16610.8,-0.45306357272990594,6.6,3.9,149816.0,586.0
2022-01-01,0.547280976192388,0.5008167441526545,6.272433512016362,5.35843659732218,7.584633100633531,6.650426608718973,15067.8,0.05710794730131585,16206.1,-2.4363667011823575,4.2,4.0,150006.0,190.0
2022-02-01,0.5903993617304204,0.4393798671143756,6.545539906103293,5.602764293293028,7.260559844734127,6.274058469312083,15077.9,0.06703035612365404,16207.6,0.009255774060390465,4.1,3.9,150825.0,819.0
2022-03-01,0.8795198773254853,0.39655724294911376,6.926410970164576,5.593221924008485,8.372596586987346,5.479906672891333,15156.8,0.5232824199656427,16127.2,-0.4960635751129039,3.2,3.7,151315.0,490.0
2022-04-01,0.2996444452209701,0.34805250013285605,6.684755338326309,5.345023150300299,7.308896742504545,4.84003701593696,15235.4,0.5185791196030909,16125.5,-0.010541197480040676,2.6,3.7,151623.0,308.0
2022-05-01,0.6210152248893985,0.3494929704254801,6.794545874740021,5.184136763522318,7.43959926392459,4.465239694429313,15214.1,-0.1398059781823835,16103.0,-0.13953055719202467,2.6,3.6,151924.0,301.0
2022-06-01,0.9634278294741394,0.59189291399524,7.243471864656126,5.31569109508947,7.797503051631072,5.280622972602811,15223.6,0.062442076757740494,16062.9,-0.24902192138110957,2.2,3.6,152358.0,434.0
2022-07-01,-0.006001474648065219,0.22032594250540605,6.7502013619389345,5.107374057840786,6.489519620581041,4.7456258690920405,15237.1,0.0886781050474239,16270.4,1.2917966245198587,3.3,3.5,153072.0,714.0
2022-08-01,0.27865661788033513,0.5653069058170646,6.6396775899483895,5.362447330658338,5.047595898668056,5.64961028398423,15319.8,0.5427541986335882,16367.3,0.5955600354017099,3.2,3.6,153362.0,290.0
2022-09-01,0.35483429665856825,0.4441514278774372,6.667939000672507,5.606479327988612,2.5375561775885735,5.030296894071218,15330.5,0.06984425384144455,16423.8,0.34520049122335195,3.4,3.5,153582.0,220.0
2022-10-01,0.4668955704560718,0.3592772998929128,6.461602354598139,5.459759683450094,4.491064351195728,5.613990129134572,15358.1,0.18003326701674371,16476.3,0.3196580572096597,3.4,3.6,153939.0,357.0
2022-11-01,0.25865212561164697,0.2882861175174778,6.030493273542614,5.20808883271644,4.407710012096477,4.4550774239978885,15317.1,-0.26696010574224216,16502.7,0.160230148759144,3.8,3.6,154242.0,303.0
2022-12-01,0.13533631073217034,0.35438780150851557,5.520050627946982,4.9668814733705435,3.4972524689051543,4.082185423604923,15303.6,-0.08813678829543425,16578.2,0.45750089379312797,4.2,3.5,154342.0,100.0
2023-01-01,0.5355453439654045,0.4728435597510128,5.507734586232882,4.937665213974429,3.7804242990522763,4.554102064361221,15501.5,1.2931597793983007,16906.9,1.982724300587524,4.9,3.5,154776.0,434.0
2023-02-01,0.2949133744475585,0.3608357091187564,5.197803844154003,4.855603371625716,3.9306457433211373,4.856972625189981,15491.8,-0.06257458955585271,16998.2,0.5400162064009395,5.5,3.6,155066.0,290.0
2023-03-01,0.14157779658034997,0.3273155881929002,4.428273156924578,4.783286394955444,3.956560363674,4.743870969448372,15494.0,0.014201061206575716,17098.8,0.5918273699568211,6.0,3.5,155134.0,68.0
2023-04-01,0.3454968294600791,0.3541393737057863,4.476012960317743,4.789642299240104,3.1727245905595725,4.249746652698083,15541.8,0.3085065186523739,17135.3,0.2134652724167685,5.8,3.4,155375.0,241.0
2023-05-01,0.16590107627281192,0.29393434062694457,4.003462454014284,4.731625374880166,2.6428915511854445,3.9720494842716114,15535.2,-0.042466123615014784,17196.7,0.3583246281068986,6.1,3.6,155655.0,280.0
2023-06-01,0.26550145651267343,0.2578033808352087,3.284521339529123,4.383786808421353,3.1519114224845435,3.6841989078399306,15584.1,0.31476904063030275,17216.3,0.11397535573685058,5.8,3.6,155880.0,225.0
2023-07-01,0.11455229146086765,0.13904012061312088,3.40904219289897,4.299124123250864,2.2055707562075977,2.7981052480172686,15658.4,0.4767679878850739,17250.6,0.19922979966660037,5.5,3.5,156043.0,163.0
2023-08-01,0.30097755519995495,0.11124493960987802,3.43205991996991,3.8282036156702226,2.757995059285512,2.051145880519978,15668.6,0.0651407551218508,17275.3,0.1431834255040343,5.6,3.7,156261.0,218.0
2023-09-01,0.3711664048937635,0.3082990082631021,3.4488928270185903,3.687774208035388,3.19184694643484,2.256896690964294,15688.7,0.1282820417905839,17282.2,0.03994141925176553,5.3,3.7,156417.0,156.0
2023-10-01,0.05353363147448942,0.15242632727514582,3.0232617305099296,3.4740628549791763,2.9404999111060093,2.311584910261111,15730.9,0.26898340844045965,17341.3,0.3419703509969674,5.4,3.9,156576.0,159.0
2023-11-01,0.007408382996931806,0.11061118919502011,2.7650899986466193,3.2907438711504255,1.7406017445509514,2.308994216529414,15786.9,0.35598726074159703,17427.1,0.494772594903492,5.6,3.7,156703.0,127.0
2023-12-01,0.13745647897409619,0.18110223137888237,2.7672658467360334,3.1123879882344996,0.7963118710192063,1.7910453416924543,15851.3,0.40793315977170064,17481.7,0.3133051396962294,5.6,3.8,156857.0,154.0
2024-01-01,0.4685188229492043,0.5182765025872449,2.6987514493606035,3.159014510020852,2.479008417661843,3.2865587269849117,15793.7,-0.36337713626011237,17575.4,0.5359890628485742,6.4,3.7,157032.0,175.0
2024-02-01,0.30107174997955344,0.26398937442768666,2.705057426970159,3.059467984974007,3.6880046327483873,3.9209909302108548,15863.1,0.4394157163932322,17596.2,0.11834723534029923,6.1,3.9,157238.0,206.0
2024-03-01,0.3588965562244084,0.3883591005208187,2.9279392327126175,3.122173857921662,4.60821788520589,4.783639451926236,15916.3,0.33536950532997434,17617.0,0.11820734022118806,5.9,3.9,157466.0,228.0
2024-04-01,0.24626538142686893,0.2417854420575516,2.826154012888593,3.006720905553606,3.685640244714694,3.6354931533267854,15945.2,0.18157486350471874,17638.6,0.1226088437304762,5.8,3.9,157530.0,64.0
2024-05-01,0.005675322885334566,0.06459314495028678,2.6616729088639213,2.7711764063720334,2.469568379871867,2.8135444280463773,16019.2,0.4640895065599615,17713.3,0.4235029991042305,5.8,3.9,157608.0,78.0
2024-06-01,0.15484645069234748,0.2402294436318897,2.548373440470164,2.7531619063573265,1.6387404141785744,2.2080535276007174,16064.4,0.28216140631240894,17751.1,0.21339897139436292,5.7,4.1,157695.0,87.0
2024-07-01,0.1594638130469006,0.19074480138900896,2.594376777467322,2.8062163337682744,1.2871682174614207,2.0000452008759773,16123.8,0.3697617091207972,17743.2,-0.04450428424153108,5.3,4.2,157748.0,53.0
2024-08-01,0.12365035236308053,0.17655051215921258,2.412994957427461,2.873279917118543,1.7659617634201208,2.4573032897354796,16145.7,0.13582406132550684,17752.9,0.054668830876059005,5.2,4.2,157757.0,9.0
2024-09-01,0.22197289509158225,0.2745110779026616,2.260766436883843,2.838627996468368,2.0390611949799187,2.5975346545557665,16227.8,0.5084945217612047,17769.9,0.09575900275446969,4.8,4.1,157912.0,155.0
2024-10-01,0.26577752005412236,0.29643788573372465,2.4776925356425616,2.9865021082658982,2.4729866467058326,3.031148399825523,16247.7,0.12262906863531597,17810.5,0.22847624353541374,5.0,4.1,157945.0,33.0
2024-11-01,0.11486497341237634,0.10498094192132879,2.5878034125423,2.980710120125618,2.437025291610495,2.7370278100660395,16299.5,0.3188143552625755,17851.4,0.2296398192077831,4.9,4.2,158079.0,134.0
2024-12-01,0.2743968484478998,0.1887675255320076,2.7280946901200087,2.9885896245190446,2.651523915721321,2.386081380590732,16415.5,0.7116782723396442,17867.9,0.09242972539968974,4.3,4.1,158316.0,237.0
2025-01-01,0.35045887709135304,0.3148249541047976,2.6073795303935166,2.7801380994415092,2.9987486259927643,2.461182657318073,16316.5,-0.6030885443635614,17889.8,0.12256616614150229,5.1,4.0,158268.0,-48.0
2025-02-01,0.4018593970514406,0.44787979484215423,2.7104846734857135,2.9686432938117457,4.1848828611634525,3.8722914735075387,16297.0,-0.1195109245242576,17910.5,0.11570839249182008,5.2,4.2,158310.0,42.0
2025-03-01,0.015882974245751136,0.09748691517839081,2.3594336708984365,2.670294814316976,3.1146490228744383,3.494262018327654,16423.9,0.7786709210284126,18029.1,0.662181401970896,5.1,4.2,158377.0,67.0
2025-04-01,0.16595072295757518,0.1875992879210031,2.2774259978433964,2.614795918367352,2.358375994688422,2.970227867869557,16446.9,0.14003982001837834,18132.9,0.5757358936386403,5.5,4.2,158485.0,108.0
2025-05-01,0.18232263178754593,0.22947841468663466,2.4580860654408676,2.783883382495933,1.466048665411246,2.0776017306562977,16423.9,-0.13984398275662668,17980.9,-0.8382553259544845,4.9,4.3,158498.0,13.0
2025-06-01,0.28722899192910045,0.26313697432227556,2.5935129797068024,2.8073722050588,2.571659276360072,2.7549886160513237,16466.3,0.25816036385997165,17962.1,-0.1045553893298079,4.6,4.1,158478.0,-20.0
2025-07-01,0.1712126113473822,0.24500281475725583,2.605547294239341,2.86304724556794,2.5932140322159514,2.9906892470471735,16547.5,0.49312838949855387,18040.9,0.43870148813336396,4.5,4.3,158542.0,64.0
2025-08-01,0.26228733459359166,0.2246302301668779,2.7476208541517,2.912416347215907,2.921162645628228,2.970763706349566,16595.8,0.29188699199274026,18076.9,0.19954658581333717,4.4,4.3,158472.0,-70.0
2025-09-01,0.2608155986582039,0.18940290733462373,2.7874424148706556,2.825069249833967,2.812777026660762,2.6681965924572726,16614.3,0.11147398739439485,18094.6,0.09791501861489138,4.3,4.4,158548.0,76.0
2025-10-01,0.19275220372183544,0.22764150794776228,2.7125805259691216,2.75453840687383,2.9012359615501415,2.5970911602639424,16649.3,0.21066189968881321,18037.3,-0.3166690614879508,3.9,,158408.0,-140.0
2025-11-01,0.21975271953764697,0.17761291387345945,2.8201898312699925,2.8290927864990767,2.7267304661770186,2.4047054562263304,16665.7,0.09850263975061946,18035.1,-0.01219694743670452,3.8,4.5,158449.0,41.0
2025-12-01,0.3308571071852118,0.32713836305298116,2.878083518031027,2.971110180682146,3.014088128053194,2.9689915312486104,16680.7,0.09000522030278013,18018.5,-0.0920427388813927,3.6,4.4,158432.0,-17.0
2026-01-01,0.34765430562468946,0.44492751356677296,2.8752083050942012,3.104657789335974,3.6526230349857913,3.864815580095904,16648.5,-0.19303746245661335,18134.6,0.6443377639647974,4.4,4.3,158592.0,160.0
2026-02-01,0.3999286948838554,0.3939122649955218,2.873230041057484,3.0492628550881085,4.400026032100701,4.76476747497574,16684.6,0.21683635162326187,18051.9,-0.4560343211319595,3.8,4.4,158436.0,-156.0
2026-03-01,0.6669806004369283,0.29621358395170994,3.5429288317545327,3.253849776876594,5.806095445361126,4.6356566605478156,16730.1,0.2727065677331275,18030.5,-0.11854707814690224,3.5,4.3,158650.0,214.0
2026-04-01,0.4056655138302112,0.24740418886219917,3.790725326991673,3.315485012191055,6.050974672947418,3.815023969549247,16751.5,0.12791316250351237,17956.2,-0.4120795319042747,3.0,4.3,158798.0,148.0
2026-05-01,0.46054440472917957,0.3324001449912295,4.078968191169485,3.42157564194292,6.307316650241401,3.560824668130569,16817.2,0.39220368325225685,17999.8,0.2428130673527651,2.8,4.3,158927.0,129.0
2026-06-01,-0.1,0.1,3.7,3.3,3.068359249328312,2.8851254959849193,16885.2,0.40434792950074794,18056.1,0.31278125312503846,2.7,4.2,158984.0,57.0
