date,initial_claims,claims_4wk_avg
2024-02-10,213000.0,219000.0
2024-02-17,202000.0,213500.0
2024-02-24,212000.0,210000.0
2024-03-02,213000.0,210000.0
2024-03-09,213000.0,210000.0
2024-03-16,213000.0,212750.0
2024-03-23,214000.0,213250.0
2024-03-30,223000.0,215750.0
2024-04-06,213000.0,215750.0
2024-04-13,212000.0,215500.0
2024-04-20,209000.0,214250.0
2024-04-27,207000.0,210250.0
2024-05-04,230000.0,214500.0
2024-05-11,222000.0,217000.0
2024-05-18,216000.0,218750.0
2024-05-25,220000.0,222000.0
2024-06-01,227000.0,221250.0
2024-06-08,240000.0,225750.0
2024-06-15,236000.0,230750.0
2024-06-22,233000.0,234000.0
2024-06-29,238000.0,236750.0
2024-07-06,223000.0,232500.0
2024-07-13,241000.0,233750.0
2024-07-20,237000.0,234750.0
2024-07-27,248000.0,237250.0
2024-08-03,234000.0,240000.0
2024-08-10,228000.0,236750.0
2024-08-17,232000.0,235500.0
2024-08-24,232000.0,231500.0
2024-08-31,227000.0,229750.0
2024-09-07,227000.0,229500.0
2024-09-14,223000.0,227250.0
2024-09-21,221000.0,224500.0
2024-09-28,227000.0,224500.0
2024-10-05,258000.0,232250.0
2024-10-12,241000.0,236750.0
2024-10-19,227000.0,238250.0
2024-10-26,219000.0,236250.0
2024-11-02,221000.0,227000.0
2024-11-09,218000.0,221250.0
2024-11-16,216000.0,218500.0
2024-11-23,219000.0,218500.0
2024-11-30,222000.0,218750.0
2024-12-07,238000.0,223750.0
2024-12-14,222000.0,225250.0
2024-12-21,219000.0,225250.0
2024-12-28,212000.0,222750.0
2025-01-04,206000.0,214750.0
2025-01-11,219000.0,214000.0
2025-01-18,223000.0,215000.0
2025-01-25,212000.0,215000.0
2025-02-01,220000.0,218500.0
2025-02-08,216000.0,217750.0
2025-02-15,223000.0,217750.0
2025-02-22,241000.0,225000.0
2025-03-01,224000.0,226000.0
2025-03-08,222000.0,227500.0
2025-03-15,225000.0,228000.0
2025-03-22,224000.0,223750.0
2025-03-29,220000.0,222750.0
2025-04-05,223000.0,223000.0
2025-04-12,217000.0,221000.0
2025-04-19,224000.0,221000.0
2025-04-26,239000.0,225750.0
2025-05-03,228000.0,227000.0
2025-05-10,226000.0,229250.0
2025-05-17,225000.0,229500.0
2025-05-24,236000.0,228750.0
2025-05-31,244000.0,232750.0
