date,cpi_headline,cpi_core,cpi_headline_unadjusted,cpi_core_unadjusted,cpi_energy,cpi_food,cpi_shelter,cpi_core_goods,pce_headline,pce_core,cpi_headline_mom,cpi_headline_yoy,cpi_headline_ann3,cpi_core_mom,cpi_core_yoy,cpi_core_ann3,cpi_headline_unadjusted_mom,cpi_headline_unadjusted_yoy,cpi_headline_unadjusted_ann3,cpi_core_unadjusted_mom,cpi_core_unadjusted_yoy,cpi_core_unadjusted_ann3,cpi_energy_mom,cpi_energy_yoy,cpi_energy_ann3,cpi_food_mom,cpi_food_yoy,cpi_food_ann3,cpi_shelter_mom,cpi_shelter_yoy,cpi_shelter_ann3,cpi_core_goods_mom,cpi_core_goods_yoy,cpi_core_goods_ann3,pce_headline_mom,pce_headline_yoy,pce_headline_ann3,pce_core_mom,pce_core_yoy,pce_core_ann3,cpi_headline_release_yoy,cpi_core_release_yoy,contrib_energy_mom_pp,contrib_food_mom_pp,contrib_core_goods_mom_pp,contrib_shelter_mom_pp,contrib_other_services_mom_pp
2022-03-01,287.674,289.056,287.504,289.305,303.099,293.893,346.396,164.318,114.469,112.914,1.115641476274165,8.572204966013853,10.086905221050113,0.27161752921707194,6.482378554404167,5.548410022354933,1.3351379548562692,8.542455554842432,13.081621132374565,0.4325502761586941,6.47447858586081,7.823453272365044,10.088914071523526,32.001985915676975,63.85271581689427,0.8756032429241278,8.459207811906055,10.971302996324539,0.4905643956426564,4.985346131348378,5.326479399763762,-0.3801267089029614,11.831923393655618,4.5996491578495835,0.8795198773254853,6.926410970164576,8.372596586987346,0.39655724294911376,5.593221924008485,5.479906672891333,8.542455554842432,6.47447858586081,0.6557794146490292,0.12521126373815028,-0.07032344114704786,0.17856544001392693,0.22640879902010647
2022-04-01,288.561,290.514,289.109,290.846,295.455,296.568,348.23,164.153,114.812,113.307,0.30833512934780316,8.231750770777225,8.795849825636903,0.5044005313849409,6.158737119052837,5.344569185870474,0.5582531025655202,8.258629340882372,11.816643732429677,0.5326558476348442,6.160573497634747,6.957820630572842,-2.5219482743262134,30.010340806582914,42.986396087681136,0.9101952070991848,9.025138042335445,11.58835087737593,0.5294518412452875,5.139368614284678,6.416159554939971,-0.10041504886867392,9.761691429182772,0.19273516800708546,0.2996444452209701,6.684755338326309,7.308896742504545,0.34805250013285605,5.345023150300299,4.84003701593696,8.258629340882372,6.160573497634747,-0.16392663783120387,0.13015791461518342,-0.018576784040704675,0.19272047021328467,0.16796016639124361
2022-05-01,291.298,292.063,292.296,292.506,309.052,299.817,350.204,164.883,115.525,113.703,0.9484996239963239,8.538171195642065,9.905880135219093,0.5331928925972562,6.0254478790408905,5.3635261406322465,1.1023523999598828,8.581511543676523,12.656479545224064,0.5707487811418943,6.021537335126292,6.319596797869753,4.60205445837778,34.45578497655033,58.76785263482829,1.0955328963340616,9.750312064162593,12.153447524818084,0.5668667260144034,5.447877366302234,6.535433440299077,0.4447070720608348,8.48208117585909,-0.15026839650090773,0.6210152248893985,6.794545874740021,7.43959926392459,0.3494929704254801,5.184136763522318,4.465239694429313,8.581511543676523,6.021537335126292,0.2991335397945557,0.15666120417577079,0.08227080833125444,0.2063394882692428,0.20409458342550013
2022-06-01,294.957,294.05,296.311,294.68,330.456,302.774,352.616,165.765,116.638,114.376,1.2561019986405686,8.979361103105798,10.517838218215703,0.6803326679517774,5.906335651591377,7.091938703097722,1.3736075758819855,9.059757964784154,12.827647045916034,0.7432326174505954,5.91694282900459,7.641288207530628,6.925695352238459,41.460512065341625,41.29166810537761,0.9862682903237552,10.025619128949614,12.646407369570545,0.6887414192870311,5.625833121152657,7.378315050557349,0.5349247648332334,7.068808494971601,3.56924034684456,0.9634278294741394,7.243471864656126,7.797503051631072,0.59189291399524,5.31569109508947,5.280622972602811,9.059757964784154,5.91694282900459,0.45017019789549984,0.14103636551629697,0.09896108149414817,0.2507018766204793,0.31523247711414437
2022-07-01,294.913,295.088,296.276,295.646,314.345,305.962,354.68,165.911,116.631,114.628,-0.014917428642136077,8.462576727730099,9.100095485990977,0.35300119027377175,5.899916740834321,6.44810422787534,-0.011811913833770227,8.52481474562552,10.29084001360645,0.32781322112120925,5.91088534315376,6.766657999637804,-4.875384317428033,32.92217786949021,28.132957785015034,1.0529305686749924,10.497480994600838,13.28510486306389,0.5853392926015832,5.733858802907177,7.6172940324091165,0.08807649383164584,6.84083766936272,4.353117344138968,-0.006001474648065219,6.7502013619389345,6.489519620581041,0.22032594250540605,5.107374057840786,4.7456258690920405,8.52481474562552,5.91088534315376,-0.31689998063282215,0.15056907132052388,0.01629415135885448,0.21306350250697628,-0.07794417319566857
2022-08-01,295.097,296.535,296.171,297.178,298.331,308.475,357.048,166.337,116.956,115.276,0.062391281496565476,8.222579178218826,5.319591579986005,0.4903621970395289,6.286089097732228,6.266817492978993,-0.03543992763505033,8.262692503116241,5.409229328435039,0.5181872915581476,6.3222030217489955,6.543634235281548,-5.094402646773455,23.947202233559906,-13.170499688922476,0.8213438270112006,10.928712187684297,12.061098290573803,0.6676440735310596,6.257328389212624,8.049312999013258,0.2567641687410749,6.921000192839233,3.574282835574194,0.27865661788033513,6.6396775899483895,5.047595898668056,0.5653069058170646,5.362447330658338,5.64961028398423,8.262692503116241,6.3222030217489955,-0.33113617204027457,0.11745216726260167,0.04750137121709885,0.24302244276530569,-0.014448527708166153
2022-09-01,296.349,298.226,296.808,298.442,294.103,310.453,359.601,166.6,117.371,115.788,0.42426727482827165,8.192106896425821,1.9011381380845682,0.5702530898544778,6.624287624509306,5.802828736380783,0.21507845130008807,8.20166964383362,0.6726065786428759,0.4253343114227981,6.630604107415916,5.205179629271051,-1.417217788295555,19.89425279859114,-37.26018241850102,0.6412188994245671,10.748710411598083,10.537370697091086,0.7150299119446091,6.59360855117872,8.162198159043887,0.15811274701360567,6.617858811332478,2.0301761443793698,0.35483429665856825,6.667939000672507,2.5375561775885735,0.4441514278774372,5.606479327988612,5.030296894071218,8.20166964383362,6.630604107415916,-0.09211915623921108,0.0916943026177131,0.02925085819751705,0.2602708879478377,0.13517038230441486
2022-10-01,298.007,299.399,298.012,299.315,299.945,312.594,362.353,166.614,117.919,116.204,0.5594754832984217,7.758813957693,4.262994488169758,0.3933258669599482,6.294999786983246,5.972989551867647,0.4056494434112379,7.7454273308049215,2.364440683468705,0.2925191494494772,6.284421750107416,5.0572182555707945,1.9863789216702843,17.738149444959106,-17.102720198884004,0.6896374008304118,10.563900865499232,8.95636018985837,0.7652926437913266,6.905188996542244,8.938313101272598,0.008403361344533344,5.130518730715594,1.7056874457985982,0.4668955704560718,6.461602354598139,4.491064351195728,0.3592772998929128,5.459759683450094,5.613990129134572,7.7454273308049215,6.284421750107416,0.12911462990856848,0.09861814831874888,0.0015546218487386687,0.27856652234004287,0.051621560882322726
2022-11-01,298.786,300.325,297.711,299.6,298.107,314.179,364.695,166.214,118.224,116.539,0.2614032556282231,7.122856456533988,5.094938191632159,0.30928627016122423,5.969880665899807,5.2112307888780185,-0.10100264418881899,7.110322794191726,2.0961579562907673,0.09521741309324039,5.957829066962805,3.3000695131236712,-0.6127790094850649,13.005784729224645,-0.2999994539254258,0.5070474801179836,10.328443955935906,7.604075516895015,0.6463310639072795,7.091888272881031,8.84608620574696,-0.2400758639730216,3.7236266513569483,-0.2954571415483831,0.25865212561164697,6.030493273542614,4.407710012096477,0.2882861175174778,5.20808883271644,4.4550774239978885,7.110322794191726,5.957829066962805,-0.03983063561652922,0.07250778965687166,-0.044414034835009,0.2352645072622497,0.03787562916063994
2022-12-01,298.832,301.394,296.797,300.113,286.33,315.367,367.466,165.939,118.384,116.952,0.01539563433359259,6.404600402357152,3.3938105412830266,0.35594772329976543,5.685531944736666,4.317313799240385,-0.30700914645410693,6.4544013314108195,-0.014823574174072096,0.17122830440585712,5.70783493244289,2.2585112649448957,-3.9505949206157687,6.879831578318685,-10.160030698552658,0.37812839177666646,10.136095521804279,6.48331023001012,0.759812994420006,7.467880946740735,9.03980964024984,-0.1654493604630214,2.128248841402991,-1.5776147237183458,0.13533631073217034,5.520050627946982,3.4972524689051543,0.35438780150851557,4.9668814733705435,4.082185423604923,6.4544013314108195,5.70783493244289,-0.25678866984002496,0.0540723600240633,-0.030608131685658957,0.2765719299688822,-0.027851854133668974
2023-01-01,300.42,302.642,299.17,301.962,292.615,316.859,369.911,166.187,119.018,117.505,0.5314022594635093,6.327178517960097,3.2784009363718836,0.4140759271916483,5.539533472591773,4.403584941649807,0.7995363834540026,6.410146968856267,1.5633827479201834,0.6161012685221845,5.5825955607770705,3.584612457546843,2.195019732476533,8.300115844834544,-9.42260350470473,0.4730995950749328,9.81115859004884,5.570271325973319,0.6653676802751862,7.890438607236816,8.607930685657038,0.1494525096571664,1.287833538525307,-1.0211898712691792,0.5355453439654045,5.507734586232882,3.7804242990522763,0.4728435597510128,4.937665213974429,4.554102064361221,6.410146968856267,5.5825955607770705,0.14267628261097465,0.06765324209571538,0.027648714286575782,0.24219383562016777,0.05123018485007569
2023-02-01,301.45,304.123,300.84,304.011,288.702,318.025,372.636,166.408,119.369,117.929,0.3428533386591992,5.957820738137087,3.6144142068336604,0.4893570621394172,5.498260329618088,5.15528883780183,0.5582110505732318,6.035613077866597,4.270821219630605,0.6785622031911354,5.537754418365681,6.020526253271474,-1.3372520205731098,4.859764203369155,-12.034885200551948,0.3679870226188875,9.158652030946435,4.9872192631379875,0.7366636839672314,8.10287057048782,8.998369361451575,0.13298272428046154,0.8869623207735877,0.4676860212507128,0.2949133744475585,5.197803844154003,3.9306457433211373,0.3608357091187564,4.855603371625716,4.856972625189981,6.035613077866597,5.537754418365681,-0.08692138133725213,0.05262214423450091,0.024601803991885385,0.2681455809640722,0.08440519080599285
2023-03-01,301.821,305.147,301.836,305.476,282.868,318.05,374.678,166.755,119.538,118.315,0.12307181953890023,4.917719362889961,4.061338793874492,0.3367058722950844,5.566741392671326,5.074663799127843,0.33107299561230263,4.984974122099173,6.966089785798202,0.48189045791104945,5.5896026684640665,7.3418678162346485,-2.0207688204446073,-6.6747168416919855,-4.749367947292582,0.007861017215637922,8.219658174914013,3.446693195599493,0.5479878487317347,8.164643933532712,8.084676141830371,0.20852362867169738,1.4830998429873787,1.9815443970320645,0.14157779658034997,4.428273156924578,3.956560363674,0.3273155881929002,4.783286394955444,4.743870969448372,4.984974122099173,5.5896026684640665,-0.13134997332889947,0.0011241254618362228,0.038576871304264015,0.1994675769383514,0.01525321916334807
2023-04-01,302.845,306.534,303.363,306.899,280.86,318.755,376.404,167.495,119.951,118.734,0.3392739405144063,4.950079879124369,3.268118426839739,0.4545350273802429,5.514364195873522,5.244114003140954,0.5059038683258521,4.930320398188925,5.7251417655280745,0.46583037619976064,5.519415773295822,6.702039486196187,-0.7098717422967527,-4.939838554094522,-15.126282359778553,0.22166326049362084,7.481252191740184,2.415062507582233,0.46066222196126105,8.09062975619561,7.208183026360082,0.44376480465353474,2.035905527160642,3.1856243990749045,0.3454968294600791,4.476012960317743,3.1727245905595725,0.3541393737057863,4.789642299240104,4.249746652698083,4.930320398188925,5.519415773295822,-0.04614166324928892,0.031697846250587774,0.08209648886090393,0.16768104879389903,0.10394021985830448
