date,retail_sales,housing_starts,retail_sales_mom,retail_sales_yoy,housing_starts_mom
2021-06-01,611950.0,1664.0,1.1016352708324462,18.128399847115475,4.0000000000000036
2021-07-01,601817.0,1600.0,-1.6558542364572215,14.347791390527153,-3.8461538461538436
2021-08-01,605533.0,1596.0,0.617463448191069,14.093285726398296,-0.24999999999999467
2021-09-01,609671.0,1576.0,0.6833649033165745,12.63047245345481,-1.253132832080206
2021-10-01,618573.0,1587.0,1.4601317759906474,14.73881219927511,0.6979695431472033
2021-11-01,624874.0,1707.0,1.0186348256390199,17.0305333360802,7.5614366729678695
2021-12-01,619938.0,1711.0,-0.7899192477203387,15.112859020922919,0.23432923257176164
2022-01-01,631509.0,1693.0,1.866476970277664,12.92473579743576,-1.0520163646990044
2022-02-01,638101.0,1730.0,1.0438489396033868,17.10617352828363,2.1854695806261093
2022-03-01,651027.0,1700.0,2.025698126158715,7.860751083947304,-1.7341040462427793
2022-04-01,660194.0,1807.0,1.408082921292042,8.413182453391933,6.294117647058828
2022-05-01,659847.0,1546.0,-0.052560308030669134,9.014806321681457,-14.443829551743226
2022-06-01,666113.0,1556.0,0.9496140772027539,8.850886510335808,0.6468305304010435
2022-07-01,659550.0,1382.0,-0.9852682652943257,9.593115515181516,-11.18251928020566
2022-08-01,663566.0,1532.0,0.608900007580937,9.583788166788597,10.85383502170767
2022-09-01,661854.0,1481.0,-0.2579999578037451,8.559206522862329,-3.3289817232376007
2022-10-01,668671.0,1446.0,1.0299854650723583,8.098963258984782,-2.363268062120194
2022-11-01,659458.0,1434.0,-1.3778076213863066,5.534555766442506,-0.8298755186721962
2022-12-01,651763.0,1296.0,-1.1668673365096804,5.133577873916417,-9.623430962343093
2023-01-01,680253.0,1358.0,4.3712208272025155,7.718654841023653,4.783950617283961
2023-02-01,672152.0,1395.0,-1.1908804518318883,5.336302560252992,2.72459499263622
2023-03-01,665071.0,1366.0,-1.0534819505111925,2.1572069975592356,-2.078853046594986
2023-04-01,670494.0,1343.0,0.8154016638824979,1.5601474718037522,-1.68374816983895
2023-05-01,673902.0,1609.0,0.5082819533060778,2.1300392363684306,19.806403574087874
2023-06-01,677117.0,1420.0,0.4770723339595273,1.6519719627150264,-11.746426351771289
2023-07-01,678424.0,1464.0,0.19302424839429122,2.861648093397018,3.0985915492957705
2023-08-01,684755.0,1321.0,0.933192221973278,3.1932015805511416,-9.767759562841526
2023-09-01,689403.0,1369.0,0.6787829223591002,4.16239835371548,3.6336109008326956
2023-10-01,686148.0,1380.0,-0.47214764078484794,2.613691935196827,0.8035062089116085
2023-11-01,685328.0,1522.0,-0.1195077446848214,3.922918517934426,10.28985507246376
2023-12-01,686277.0,1504.0,0.1384738402633534,5.295483174098559,-1.182654402102501
2024-01-01,680456.0,1378.0,-0.8481997793893692,0.029841838257227415,-8.377659574468089
2024-02-01,685280.0,1555.0,0.7089363603230758,1.9531296492460104,12.844702467343971
2024-03-01,687641.0,1297.0,0.3445307027784228,3.393622635778737,-16.591639871382636
2024-04-01,687602.0,1379.0,-0.005671564086495717,2.551551542593966,6.32228218966846
2024-05-01,692774.0,1329.0,0.7521793130328192,2.8004071808660713,-3.6258158085569203
2024-06-01,692449.0,1318.0,-0.046912846036373246,2.2643058732833454,-0.8276899924755443
2024-07-01,698835.0,1269.0,0.9222339840190497,3.008590497977659,-3.7177541729893737
2024-08-01,697039.0,1394.0,-0.25699914858300366,1.7939262948061696,9.85027580772262
2024-09-01,703055.0,1357.0,0.863079397279054,1.9802640835621554,-2.654232424677183
2024-10-01,708290.0,1370.0,0.7446074631429989,3.22700058879426,0.9579955784819516
2024-11-01,711853.0,1300.0,0.5030425390729842,3.87040949735018,-5.109489051094895
2024-12-01,717265.0,1494.0,0.7602693252680037,4.515377901343043,14.923076923076927
2025-01-01,711260.0,1353.0,-0.83720800540944,4.526964271018263,-9.437751004016059
2025-02-01,711575.0,1491.0,0.044287602283277216,3.8371176745271907,10.19955654101996
2025-03-01,723339.0,1346.0,1.6532340231177223,5.191371660503075,-9.72501676727029
