date,pce_headline,pce_core,saving_rate,payems,unrate,real_pce,pce_headline_mom,pce_headline_yoy,pce_core_mom,pce_core_yoy,real_pce_mom,real_pce_yoy,payroll_change_k,fed_target_upper,reconstructed_july
2021-01-01,106.147,106.281,19.5,142863.0,6.4,106.878,0.42384506948978107,1.5857976839888988,0.36356425171866213,1.6974939477738316,1.2696848528492177,-0.18211874141940143,315.0,0.25,False
2021-02-01,106.5,106.501,13.0,143380.0,6.2,105.895,0.33255767944453396,1.8427318715156016,0.20699842869373875,1.7094670091967412,-0.9197402646007657,-0.7563119716593847,517.0,0.25,False
2021-03-01,107.054,106.933,26.2,144232.0,6.1,110.454,0.5201877934272403,2.669006722866385,0.40562999408455536,2.1991360195733556,4.305207989045745,10.800806524421436,852.0,0.25,False
2021-04-01,107.618,107.558,12.4,144587.0,6.1,111.327,0.526836923421814,3.6402858298503427,0.5844781311662439,3.1306032044336574,0.7903742734532093,25.404960911978726,355.0,0.25,False
2021-05-01,108.175,108.099,10.0,145065.0,5.8,111.142,0.5175714099871831,4.07246348925363,0.5029844363041214,3.5411199019175887,-0.16617711786000022,15.577878995861138,478.0,0.25,False
2021-06-01,108.76,108.603,8.8,145820.0,5.9,112.053,0.5407903859486973,4.306128320705871,0.46623928065938625,3.8617128102137466,0.819672131147553,10.504827368566394,755.0,0.25,False
2021-07-01,109.256,109.058,9.5,146762.0,5.4,111.876,0.4560500183891092,4.473216164011551,0.418957119048291,3.92711817566731,-0.15796096490052758,8.663895256225974,942.0,0.25,False
2021-08-01,109.674,109.409,8.7,147314.0,5.1,112.637,0.3825876839715914,4.580909697720981,0.32184709053897365,3.9584580447155737,0.6802173835317671,8.534399691655414,552.0,0.25,False
2021-09-01,110.034,109.641,7.6,147771.0,4.7,112.79,0.3282455276546914,4.737428253233955,0.21204836896415724,4.013850678303776,0.13583458366257517,7.346460964490675,457.0,0.25,False
2021-10-01,110.762,110.188,7.0,148572.0,4.5,113.505,0.6616136830434272,5.336135652537788,0.498900958583004,4.436672448273571,0.6339214469367693,7.6989496256796075,801.0,0.25,False
2021-11-01,111.5,110.77,6.6,149230.0,4.1,113.734,0.666293494158654,5.93019057933839,0.5281881874614314,4.8908669097107005,0.20175322673010587,8.200620278935244,658.0,0.25,False
2021-12-01,112.191,111.418,6.6,149816.0,3.9,113.307,0.6197309417040442,6.141969176624196,0.5849959375282099,5.2145501246505965,-0.37543742416514814,7.361329568496666,586.0,0.25,False
2022-01-01,112.805,111.976,4.2,150006.0,4.0,113.372,0.547280976192388,6.272433512016362,0.5008167441526545,5.35843659732218,0.05736627039811815,6.076086753120391,190.0,0.25,False
2022-02-01,113.471,112.468,4.1,150825.0,3.9,113.448,0.5903993617304204,6.545539906103293,0.4393798671143756,5.602764293293028,0.06703595243975347,7.132536946975776,819.0,0.25,False
2022-03-01,114.469,112.914,3.2,151315.0,3.7,114.041,0.8795198773254853,6.926410970164576,0.39655724294911376,5.593221924008485,0.5227064381919444,3.2475057489995907,490.0,0.5,False
2022-04-01,114.812,113.307,2.6,151623.0,3.7,114.632,0.2996444452209701,6.684755338326309,0.34805250013285605,5.345023150300299,0.5182346699871276,2.9687317542016034,308.0,0.5,False
2022-05-01,115.525,113.703,2.6,151924.0,3.6,114.473,0.6210152248893985,6.794545874740021,0.3494929704254801,5.184136763522318,-0.13870472468421324,2.997066815425309,301.0,1.0,False
2022-06-01,116.638,114.376,2.2,152358.0,3.6,114.544,0.9634278294741394,7.243471864656126,0.59189291399524,5.31569109508947,0.06202335922007585,2.2230551613968474,434.0,1.75,False
2022-07-01,116.631,114.628,3.3,153072.0,3.5,114.646,-0.006001474648065219,6.7502013619389345,0.22032594250540605,5.107374057840786,0.08904874982540445,2.475955522185269,714.0,2.5,False
2022-08-01,116.956,115.276,3.2,153362.0,3.6,115.268,0.27865661788033513,6.6396775899483895,0.5653069058170646,5.362447330658338,0.542539643772999,2.335822154354261,290.0,2.5,False
2022-09-01,117.371,115.788,3.4,153582.0,3.5,115.348,0.35483429665856825,6.667939000672507,0.4441514278774372,5.606479327988612,0.06940347711419381,2.267931554215785,220.0,3.25,False
2022-10-01,117.919,116.204,3.4,153939.0,3.6,115.556,0.4668955704560718,6.461602354598139,0.3592772998929128,5.459759683450094,0.1803238894475756,1.8069688559975372,357.0,3.25,False
2022-11-01,118.224,116.539,3.8,154242.0,3.6,115.247,0.25865212561164697,6.030493273542614,0.2882861175174778,5.20808883271644,-0.26740281768147245,1.330297008810044,303.0,4.0,False
2022-12-01,118.384,116.952,4.2,154342.0,3.5,115.146,0.13533631073217034,5.520050627946982,0.35438780150851557,4.9668814733705435,-0.08763785608302266,1.6230241732637873,100.0,4.5,False
2023-01-01,119.018,117.505,4.9,154776.0,3.5,116.635,0.5355453439654045,5.507734586232882,0.4728435597510128,4.937665213974429,1.2931408820106682,2.878135694880579,434.0,4.5,False
2023-02-01,119.369,117.929,5.5,155066.0,3.6,116.562,0.2949133744475585,5.197803844154003,0.3608357091187564,4.855603371625716,-0.06258841685601313,2.744869896340174,290.0,4.75,False
2023-03-01,119.538,118.315,6.0,155134.0,3.5,116.578,0.14157779658034997,4.428273156924578,0.3273155881929002,4.783286394955444,0.013726600435814973,2.224638507203558,68.0,5.0,False
2023-04-01,119.951,118.734,5.8,155375.0,3.4,116.938,0.3454968294600791,4.476012960317743,0.3541393737057863,4.789642299240104,0.3088061212235482,2.0116546863005125,241.0,5.0,False
2023-05-01,120.15,119.083,6.1,155655.0,3.6,116.888,0.16590107627281192,4.003462454014284,0.29393434062694457,4.731625374880166,-0.04275770066188844,2.1096677819223864,280.0,5.25,False
2023-06-01,120.469,119.39,5.8,155880.0,3.6,117.256,0.26550145651267343,3.284521339529123,0.2578033808352087,4.383786808421353,0.31483129149270095,2.3676491130046218,225.0,5.25,False
2023-07-01,120.607,119.556,5.5,156043.0,3.5,117.816,0.11455229146086765,3.40904219289897,0.13904012061312088,4.299124123250864,0.4775875008528274,2.7650332327338045,163.0,5.5,False
2023-08-01,120.97,119.689,5.6,156261.0,3.7,117.892,0.30097755519995495,3.43205991996991,0.11124493960987802,3.8282036156702226,0.06450736742038554,2.276434049345877,218.0,5.5,False
2023-09-01,121.419,120.058,5.3,156417.0,3.7,118.043,0.3711664048937635,3.4488928270185903,0.3082990082631021,3.687774208035388,0.12808333050589038,2.3364080868328863,156.0,5.5,False
