,shelter_index,shelter_yoy,shelter_weight,shelter_contribution,food_index,food_yoy,food_weight,food_contribution,energy_index,energy_yoy,energy_weight,energy_contribution,medical_index,medical_yoy,medical_weight,medical_contribution,transportation_index,transportation_yoy,transportation_weight,transportation_contribution,apparel_index,apparel_yoy,apparel_weight,apparel_contribution,tracked_contribution
2020-11-01,327.801,1.9246854118795786,0.369,0.7102089169835645,269.636,3.6870116286224164,0.135,0.49774656986402627,197.017,-9.412473331861992,0.065,-0.6118107665710295,520.567,2.410316437642024,0.065,0.15667056844673155,204.355,-3.280387720909106,0.085,-0.278832956277274,117.411,-4.968838526912178,0.025,-0.12422096317280445,0.3497613692732144
2020-12-01,328.217,1.852616160895204,0.369,0.6836153633703304,270.781,3.953424983588172,0.135,0.5337123727844032,205.67,-7.012388100189904,0.065,-0.4558052265123438,519.866,1.7599217029605985,0.065,0.1143949106924389,208.196,-2.417578297102474,0.085,-0.20549415525371031,117.967,-3.981800275112113,0.025,-0.09954500687780282,0.5708782582033156
2021-01-01,328.535,1.5604954758614786,0.369,0.5758228305928856,271.195,3.78961548912522,0.135,0.5115980910319047,212.47,-3.4872153606453793,0.065,-0.22666899844194965,521.832,1.949384004032395,0.065,0.12670996026210568,210.632,-1.1766913765600018,0.085,-0.10001876700760017,119.065,-2.7858291760902043,0.025,-0.06964572940225511,0.8177973870350911
2021-02-01,329.124,1.4302752378398953,0.369,0.5277715627629214,271.425,3.6123559905635316,0.135,0.4876680587260768,219.242,2.3089773862077223,0.065,0.15008353010350195,523.675,2.0874637159895126,0.065,0.13568514153931832,212.904,0.7104946973065518,0.085,0.06039204927105691,118.14,-3.9137224282646876,0.025,-0.09784306070661719,1.2637572816962583
2021-03-01,329.947,1.6660504098108042,0.369,0.6147726012201867,271.636,3.43230955517817,0.135,0.463361789949053,229.617,13.851577491186573,0.065,0.9003525369271272,524.024,1.8030356896548305,0.065,0.11719731982756398,217.471,6.234215398443643,0.085,0.5299083088677097,118.484,-2.5288339722601694,0.025,-0.06322084930650423,2.5623717074851364
2021-04-01,331.208,2.1014763048296636,0.369,0.7754447564821458,272.715,2.382025002815613,0.135,0.3215733753801078,227.255,24.46463584283569,0.065,1.5902013297843198,524.465,1.4890570273042192,0.065,0.09678870677477425,220.736,14.742560103963598,0.085,1.2531176088369058,119.692,2.2440524494938607,0.025,0.05610131123734652,4.093227088495601
2021-05-01,332.111,2.1964901699525807,0.369,0.8105048727125023,273.932,2.1806435248390432,0.135,0.29438687585327084,229.854,27.668295934236852,0.065,1.7984392357253955,523.97,0.9280519000215648,0.065,0.06032337350140171,225.784,19.63143700359766,0.085,1.6686721453058013,120.794,5.73334267007457,0.025,0.14333356675186426,4.775660069850236
2021-06-01,333.835,2.58431282169469,0.369,0.9536114312053405,275.997,2.390624478302983,0.135,0.3227343045709027,233.603,23.773670880710405,0.065,1.5452886072461764,523.099,0.4285163007063275,0.065,0.02785355954591129,233.169,21.09278436178943,0.085,1.7928866707521016,121.339,4.9055461894263575,0.025,0.12263865473565894,4.765013228056092
2021-07-01,335.446,2.8190124720688825,0.369,1.0402156021934177,277.813,3.4561988887730433,0.135,0.4665868499843609,236.488,23.192648698206963,0.065,1.5075221653834525,524.307,0.31223991964415276,0.065,0.02029559477686993,234.485,18.85356000587972,0.085,1.6025526004997765,121.319,4.06859044743344,0.025,0.101714761185836,4.738887574023714
2021-08-01,336.022,2.8275731221425904,0.369,1.043374482070616,279.01,3.737772208940471,0.135,0.5045992482069636,240.692,24.51282157397301,0.065,1.5933334023082457,524.693,0.33867383663337414,0.065,0.02201379938116932,234.588,17.311010096463985,0.085,1.471435858199439,121.505,3.933040793109055,0.025,0.09832601982772637,4.73308280999416
2021-09-01,337.357,3.1537137318334407,0.369,1.1637203670465397,281.366,4.5803087238842854,0.135,0.6183416777243785,245.302,24.705523499656845,0.065,1.605859027477695,524.874,0.3684885848852737,0.065,0.02395175801754279,235.77,16.388247141757017,0.085,1.3930010070493466,121.051,3.3237450600476226,0.025,0.08309362650119057,4.887967463816693
2021-10-01,338.948,3.5205438869223338,0.369,1.2990806942743411,283.972,5.310157869558263,0.135,0.7168713123903655,254.756,29.902658161366148,0.065,1.9436727804887997,527.649,1.2872809501231375,0.065,0.08367326175800394,241.059,18.613885745214787,0.085,1.582180288343257,122.57,4.619402857679367,0.025,0.11548507144198417,5.740963408696752
2021-11-01,340.544,3.8874195014658275,0.369,1.4344577960408904,286.151,6.12492397157649,0.135,0.8268647361628262,263.798,33.896059730886165,0.065,2.203243882507601,529.542,1.7240816263804692,0.065,0.1120653057147305,248.066,21.389738445352457,0.085,1.818127767854959,123.61,5.279743805946624,0.025,0.1319935951486656,6.526753083429672
2021-12-01,341.931,4.178333236852438,0.369,1.5418049643985496,287.812,6.289584572034235,0.135,0.8490939172246218,267.899,30.25672193319395,0.065,1.966686925657607,531.045,2.1503618240084954,0.065,0.1397735185605522,253.118,21.576783415627588,0.085,1.834026590328345,124.753,5.752456195376676,0.025,0.1438114048844169,6.475197321054092
2022-01-01,342.858,4.359657266349082,0.369,1.6087135312828111,290.077,6.9625177455336695,0.135,0.9399398956470455,270.189,27.16571751306067,0.065,1.7657716383489437,534.695,2.4649695687501083,0.065,0.16022302196875704,254.579,20.86435109574993,0.085,1.7734698431387443,125.476,5.384453869735029,0.025,0.13461134674337571,6.382729277129677
2022-02-01,344.705,4.7340819873360696,0.369,1.7468762533270097,292.899,7.9115777839182,0.135,1.068063000828957,275.322,25.579040512310613,0.065,1.6626376333001898,536.583,2.4648875733995324,0.065,0.1602176922709696,257.835,21.103877804080696,0.085,1.7938296133468592,125.997,6.650584052818687,0.025,0.16626460132046716,6.597888794394453
