,headline_index,core_index,supercore_index,headline_yoy,core_yoy,supercore_yoy,headline_1m_ann,headline_3m_ann,headline_6m_ann,core_1m_ann,core_3m_ann,core_6m_ann
2020-02-01,259.25,267.37,344.006,2.3413166797595197,2.3676613601035346,3.123632286726652,0.5710942821021803,2.143597695430355,2.5263420347515497,2.982464495615811,2.772888981975563,2.664968010562707
2020-03-01,258.076,267.054,343.99,1.4940399642909163,2.097741687598198,2.8315367185024476,-5.300814158803268,-0.8540733741588147,1.2879013839469433,-1.4090763749500246,1.5638587458973507,2.0269010131579224
2020-04-01,256.032,265.746,342.776,0.3130472940411133,1.4309324152566472,2.1784492112511433,-9.100905125294867,-4.692664861410889,-0.8714961175282143,-5.721690365231547,-1.4468141911167853,0.5865843754167432
2020-05-01,255.802,265.412,342.801,0.1982013035848551,1.2184564692601985,1.962201520505391,-1.0726800456615337,-5.214766871657483,-1.604346030279391,-1.497824983470586,-2.8972534222683755,-0.10240346295551372
2020-06-01,257.042,265.849,343.713,0.7166562831830481,1.1836841884912408,1.9324015338214817,5.97462104355202,-1.5930228135305535,-1.2242391089771099,1.9937869646949657,-1.7926991719821372,-0.1285204419567143
2020-07-01,258.352,267.389,345.493,0.9968647625897997,1.560695837131587,2.2571011670272645,6.290104600486313,3.6741102382047197,-0.5972677957611916,7.177117348547557,2.4960675325931048,0.5052933343288935
2020-08-01,259.316,268.422,345.936,1.2810698495523853,1.7223933878284248,2.160835629424196,4.570655809609914,5.609141632955494,0.050922585270707366,4.735726818522901,4.614097638682635,0.7884726120356955
2020-09-01,259.997,268.933,345.88,1.3910228912373812,1.7190644053436621,1.9161581368212888,3.197285878446965,4.678377012614265,1.4942493868346451,2.308534321389466,4.721598298943475,1.412156605286663
2020-10-01,260.319,269.306,346.22,1.2303863428671624,1.6364116692455521,1.7390435554301753,1.4963361299032085,3.080414773779294,3.376836306092579,1.6771101329237537,2.898719270704264,2.697196063901619
2020-11-01,260.911,269.981,346.884,1.1757452138405844,1.6693780408814973,1.7159680030026658,2.7633526323504354,2.483111287293238,4.034385733399226,3.0495422343979284,2.343525818306813,3.47258382123925
2020-12-01,262.045,270.341,346.808,1.3204191315779434,1.624313961356294,1.5998382877248085,5.3420723497679345,3.1882298797475617,3.9306327827197007,1.6118999013637891,2.1107056858820528,3.4079121869240003
2021-01-01,262.687,270.387,347.19,1.3738437137002402,1.3763703714812836,1.3119576064944072,2.9798936061508075,3.688562525737704,3.3840414786053152,0.20437776183519496,1.6153018059201774,2.2549970130324004
2021-02-01,263.579,270.793,348.361,1.6698167791706853,1.280248344990098,1.265966291285614,4.151781550419198,4.153451530935426,3.3149058180888202,1.8168172439591457,1.2084859759740496,1.774423592147345
2021-03-01,264.961,271.459,349.607,2.6678187820641908,1.6494791315614155,1.6328963051251533,6.476502882162172,4.525994159883218,3.854958060649083,2.991583418989907,1.6644969185032776,1.8873570348576285
2021-04-01,266.614,273.66,351.265,4.133077115360573,2.9780316542864504,2.47654444885288,7.748679725937424,6.1151713580587685,4.894850113289406,10.175475266381984,4.930577144386206,3.259635217233847
2021-05-01,268.383,275.465,352.721,4.918257089467626,3.7876961101984907,2.8938071942613997,8.259154295249083,7.492159709625423,5.809637775923027,8.208466496286725,7.081875734845844,4.103768032627619
2021-06-01,270.654,277.651,354.25,5.295632620349999,4.439362194328367,3.065639065150272,10.640304213135288,8.875454980187868,6.67856003627787,9.949634491587345,9.440983776911892,5.48110047750654
2021-07-01,271.903,278.648,355.375,5.245169381309234,4.210719214328185,2.8602605552066285,5.680435180097754,8.174325215500255,7.139801459519224,4.395134740238138,7.4925660646443015,6.203846427020676
2021-08-01,272.676,278.997,355.423,5.152015301793966,3.9396919775577244,2.7424147819249844,3.465362159929253,6.55348179038393,7.021791623148466,1.5133682360563228,5.228269655894446,6.15102682068287
2021-09-01,273.91,279.698,355.962,5.351215590949132,4.002855729865806,2.9148837747195566,5.567850953037956,4.899580633777045,6.869029979378882,3.0571030396428833,2.981799351716208,6.162278763072737
2021-10-01,276.55,281.668,357.469,6.235042390298062,4.590317334184912,3.2490901738778666,12.19908073302307,7.013521064560879,7.592357675132311,8.787197655292566,4.406207187773181,5.938147631958524
2021-11-01,278.919,283.406,358.722,6.901970403700863,4.972572143965692,3.4126682118517992,10.777928562140282,9.477466822037094,8.005579797894246,7.660988995741058,6.4726413880267675,5.848626911049859
2021-12-01,280.845,285.18,359.559,7.174340285065539,5.488993530393094,3.6766741251643698,8.608336682661344,10.518564101574146,7.6724246337117386,7.775560576331886,8.073400090567628,5.496887173909459
2022-01-01,282.543,286.757,361.397,7.558805726967832,6.05428515424189,4.091995737204401,7.5014369047640805,8.954094897952402,7.979448643860931,6.841398131953902,7.425175702709352,5.904934500711545
2022-02-01,284.5,288.273,363.672,7.937278766517819,6.4551151617656455,4.3951533036132195,8.635714047661214,8.247203399019497,8.86059718141572,6.531802235154149,7.048283800957744,6.7600746175418
2022-03-01,287.674,289.056,365.938,8.572204966013853,6.482378554404167,4.671245140972569,14.240500292612213,10.086905221050113,10.302523504299499,3.3085461261264104,5.548410022354933,6.803443508480789
2022-04-01,288.561,290.514,368.565,8.231750770777225,6.158737119052837,4.925056581213627,3.7634175116521895,8.795849825636903,8.874943611493213,6.223579058904072,5.344569185870474,6.3797859281468305
2022-05-01,291.298,292.063,370.937,8.538171195642065,6.0254478790408905,5.164421738427816,11.994945310881434,9.905880135219093,9.07338887989737,6.589324383925765,5.3635261406322465,6.202564227856722
2022-06-01,294.957,294.05,373.664,8.979361103105798,5.906335651591377,5.480310515172904,16.15942535112138,10.517838218215703,10.3021612715003,8.476509561301725,7.091938703097722,6.317373257259584
