date,headline_cpi_yoy,headline_cpi_mom,headline_cpi,core_cpi_yoy,core_cpi_mom,core_cpi,headline_pce_yoy,headline_pce_mom,headline_pce,core_pce_yoy,core_pce_mom,core_pce
2020-03-01,1.4940399642909163,-0.4528447444551498,258.076,2.097741687598198,-0.11818827841568735,267.054,1.1662090444265472,-0.2887934744149945,104.271,1.5272953094374042,-0.0754457506852102,104.632
2020-04-01,0.3130472940411133,-0.7920147553434065,256.032,1.4309324152566472,-0.48978858208451603,265.746,0.4624613003096023,-0.415264071505983,103.838,0.9954970222243897,-0.3239926599892917,104.293
2020-05-01,0.1982013035848551,-0.08983252093487382,255.802,1.2184564692601985,-0.12568392374673332,265.412,0.49016290423937736,0.10015601224984128,103.942,0.9973783749794407,0.10451324633484749,104.402
2020-06-01,0.7166562831830481,0.4847499237691677,257.042,1.1836841884912408,0.16464967672902286,265.849,0.7595377063120967,0.3155606011044698,104.27,0.9704519119350996,0.15612727725522468,104.565
2020-07-01,0.9968647625897997,0.5096443382793581,258.352,1.560695837131587,0.5792762056656242,267.389,0.9225840072571545,0.29538697611970477,104.578,1.2143366963097257,0.3557595753837406,104.937
2020-08-01,1.2810698495523853,0.3731343283582156,259.316,1.7223933878284248,0.38632853258735445,268.422,1.157519050834388,0.2792174262273184,104.87,1.3931038469319867,0.29160353354868995,105.243
2020-09-01,1.3910228912373812,0.2626139536318739,259.997,1.7190644053436621,0.19037187711885561,268.933,1.27635371578958,0.17831601029845157,105.057,1.4796915464076354,0.15868038729416334,105.41
2020-10-01,1.2303863428671624,0.1238475828567287,260.319,1.6364116692455521,0.1386962552011095,269.306,1.1874861668446979,0.08947523725215678,105.151,1.4217326104510208,0.09202162982639983,105.507
2020-11-01,1.1757452138405844,0.2274132890799363,260.911,1.6693780408814973,0.25064424854999157,269.981,1.186264708144269,0.10175842360033993,105.258,1.453521884486797,0.09288483228599986,105.605
2020-12-01,1.3204191315779434,0.4346309661148906,262.045,1.624313961356294,0.13334271670970566,270.341,1.334522131784066,0.41897052955595093,105.699,1.508790092214496,0.2755551347000562,105.896
2021-01-01,1.3738437137002402,0.24499608845809373,262.687,1.3763703714812836,0.017015547031329348,270.387,1.5857976839888988,0.42384506948978107,106.147,1.6974939477738316,0.36356425171866213,106.281
2021-02-01,1.6698167791706853,0.33956762230333837,263.579,1.280248344990098,0.15015514799159302,270.793,1.8427318715156016,0.33255767944453396,106.5,1.7094670091967412,0.20699842869373875,106.501
2021-03-01,2.6678187820641908,0.524320981565296,264.961,1.6494791315614155,0.2459443190924393,271.459,2.669006722866385,0.5201877934272403,107.054,2.1991360195733556,0.40562999408455536,106.933
2021-04-01,4.133077115360573,0.6238653990587206,266.614,2.9780316542864504,0.8108038414641028,273.66,3.6402858298503427,0.526836923421814,107.618,3.1306032044336574,0.5844781311662439,107.558
2021-05-01,4.918257089467626,0.6635060424433847,268.383,3.7876961101984907,0.6595775780164903,275.465,4.07246348925363,0.5175714099871831,108.175,3.5411199019175887,0.5029844363041214,108.099
2021-06-01,5.295632620349999,0.8461787818155431,270.654,4.439362194328367,0.7935672408473149,277.651,4.306128320705871,0.5407903859486973,108.76,3.8617128102137466,0.46623928065938625,108.603
2021-07-01,5.245169381309234,0.4614747980816958,271.903,4.210719214328185,0.359083885885525,278.648,4.473216164011551,0.4560500183891092,109.256,3.92711817566731,0.418957119048291,109.058
2021-08-01,5.152015301793966,0.2842925602144719,272.676,3.9396919775577244,0.1252476242427747,278.997,4.580909697720981,0.3825876839715914,109.674,3.9584580447155737,0.32184709053897365,109.409
2021-09-01,5.351215590949132,0.4525517463950024,273.91,4.002855729865806,0.25125718197684943,279.698,4.737428253233955,0.3282455276546914,110.034,4.013850678303776,0.21204836896415724,109.641
2021-10-01,6.235042390298062,0.9638202329232071,276.55,4.590317334184912,0.704331099972122,281.668,5.336135652537788,0.6616136830434272,110.762,4.436672448273571,0.498900958583004,110.188
2021-11-01,6.901970403700863,0.8566262881938069,278.919,4.972572143965692,0.6170384992260303,283.406,5.93019057933839,0.666293494158654,111.5,4.8908669097107005,0.5281881874614314,110.77
2021-12-01,7.174340285065539,0.6905230550805275,280.845,5.488993530393094,0.6259571074712644,285.18,6.141969176624196,0.6197309417040442,112.191,5.2145501246505965,0.5849959375282099,111.418
2022-01-01,7.558805726967832,0.6046039630400957,282.543,6.05428515424189,0.5529840802300345,286.757,6.272433512016362,0.547280976192388,112.805,5.35843659732218,0.5008167441526545,111.976
2022-02-01,7.937278766517819,0.6926379347568234,284.5,6.4551151617656455,0.5286706165847699,288.273,6.545539906103293,0.5903993617304204,113.471,5.602764293293028,0.4393798671143756,112.468
2022-03-01,8.572204966013853,1.115641476274165,287.674,6.482378554404167,0.27161752921707194,289.056,6.926410970164576,0.8795198773254853,114.469,5.593221924008485,0.39655724294911376,112.914
2022-04-01,8.231750770777225,0.30833512934780316,288.561,6.158737119052837,0.5044005313849409,290.514,6.684755338326309,0.2996444452209701,114.812,5.345023150300299,0.34805250013285605,113.307
2022-05-01,8.538171195642065,0.9484996239963239,291.298,6.0254478790408905,0.5331928925972562,292.063,6.794545874740021,0.6210152248893985,115.525,5.184136763522318,0.3494929704254801,113.703
2022-06-01,8.979361103105798,1.2561019986405686,294.957,5.906335651591377,0.6803326679517774,294.05,7.243471864656126,0.9634278294741394,116.638,5.31569109508947,0.59189291399524,114.376
2022-07-01,8.462576727730099,-0.014917428642136077,294.913,5.899916740834321,0.35300119027377175,295.088,6.7502013619389345,-0.006001474648065219,116.631,5.107374057840786,0.22032594250540605,114.628
2022-08-01,8.222579178218826,0.062391281496565476,295.097,6.286089097732228,0.4903621970395289,296.535,6.6396775899483895,0.27865661788033513,116.956,5.362447330658338,0.5653069058170646,115.276
2022-09-01,8.192106896425821,0.42426727482827165,296.349,6.624287624509306,0.5702530898544778,298.226,6.667939000672507,0.35483429665856825,117.371,5.606479327988612,0.4441514278774372,115.788
2022-10-01,7.758813957693,0.5594754832984217,298.007,6.294999786983246,0.3933258669599482,299.399,6.461602354598139,0.4668955704560718,117.919,5.459759683450094,0.3592772998929128,116.204
2022-11-01,7.122856456533988,0.2614032556282231,298.786,5.969880665899807,0.30928627016122423,300.325,6.030493273542614,0.25865212561164697,118.224,5.20808883271644,0.2882861175174778,116.539
2022-12-01,6.404600402357152,0.01539563433359259,298.832,5.685531944736666,0.35594772329976543,301.394,5.520050627946982,0.13533631073217034,118.384,4.9668814733705435,0.35438780150851557,116.952
2023-01-01,6.327178517960097,0.5314022594635093,300.42,5.539533472591773,0.4140759271916483,302.642,5.507734586232882,0.5355453439654045,119.018,4.937665213974429,0.4728435597510128,117.505
2023-02-01,5.957820738137087,0.3428533386591992,301.45,5.498260329618088,0.4893570621394172,304.123,5.197803844154003,0.2949133744475585,119.369,4.855603371625716,0.3608357091187564,117.929
2023-03-01,4.917719362889961,0.12307181953890023,301.821,5.566741392671326,0.3367058722950844,305.147,4.428273156924578,0.14157779658034997,119.538,4.783286394955444,0.3273155881929002,118.315
2023-04-01,4.950079879124369,0.3392739405144063,302.845,5.514364195873522,0.4545350273802429,306.534,4.476012960317743,0.3454968294600791,119.951,4.789642299240104,0.3541393737057863,118.734
2023-05-01,4.131851231385042,0.1614687381333635,303.334,5.337547036084689,0.3647229997324919,307.652,4.003462454014284,0.16590107627281192,120.15,4.731625374880166,0.29393434062694457,119.083
2023-06-01,3.070617072997095,0.224175331482801,304.014,4.853596327155252,0.2177785289873002,308.322,3.284521339529123,0.26550145651267343,120.469,4.383786808421353,0.2578033808352087,119.39
2023-07-01,3.287749268428297,0.1957146710348745,304.609,4.700970557935236,0.20692652486684615,308.96,3.40904219289897,0.11455229146086765,120.607,4.299124123250864,0.13904012061312088,119.556
2023-08-01,3.722504803505289,0.4835707415079771,306.082,4.399143440066089,0.20067322630761275,309.58,3.43205991996991,0.30097755519995495,120.97,3.8282036156702226,0.11124493960987802,119.689
2023-09-01,3.687206638119256,0.3900915440960384,307.276,4.128747996485882,0.3097745332385715,310.539,3.4488928270185903,0.3711664048937635,121.419,3.687774208035388,0.3082990082631021,120.058
2023-10-01,3.2512659098611785,0.13668493471667986,307.696,4.027401561127464,0.29561504352111356,311.457,3.0232617305099296,0.05353363147448942,121.484,3.4740628549791763,0.15242632727514582,120.241
2023-11-01,3.1333462745911866,0.14689823722116024,308.148,4.017980521102138,0.30020195404181216,312.392,2.7650899986466193,0.007408382996931806,121.493,3.2907438711504255,0.11061118919502011,120.374
2023-12-01,3.3159099427102934,0.1924399963653789,308.741,3.9154727698627045,0.25704883607775564,313.195,2.7672658467360334,0.13745647897409619,121.66,3.1123879882344996,0.18110223137888237,120.592
2024-01-01,3.0883429864855705,0.30996854969052023,309.698,3.8583540949372663,0.3588818467727739,314.319,2.6987514493606035,0.4685188229492043,122.23,3.159014510020852,0.5182765025872449,121.217
2024-02-01,3.157074141648697,0.40975401843086345,310.967,3.7619647313751337,0.39609441363710474,315.564,2.705057426970159,0.30107174997955344,122.598,3.059467984974007,0.26398937442768666,121.537
2024-03-01,3.4868349120836584,0.4431338373525273,312.345,3.8161935067360986,0.3891445158509699,316.792,2.9279392327126175,0.3588965562244084,123.038,3.122173857921662,0.3883591005208187,122.009
2024-04-01,3.3607951262196734,0.21706766556210955,313.023,3.6260251717590952,0.27052450819466944,317.649,2.826154012888593,0.24626538142686893,123.341,3.006720905553606,0.2417854420575516,122.304
2024-05-01,3.244278584003113,0.04855873210594108,313.175,3.394419668976645,0.14040654936740005,318.095,2.6616729088639213,0.005675322885334566,123.348,2.7711764063720334,0.06459314495028678,122.383
2024-06-01,2.9702579486470926,-0.041829647960411886,313.044,3.2654173234475614,0.09273959037392476,318.39,2.548373440470164,0.15484645069234748,123.539,2.7531619063573265,0.2402294436318897,122.677
2024-07-01,2.9414757935583014,0.16770805381991494,313.569,3.2301916105644812,0.17274411884795615,318.94,2.594376777467322,0.1594638130469006,123.736,2.8062163337682744,0.19074480138900896,122.911
