date,ppi_final_demand,ppi_final_demand_goods,ppi_finished_goods,ppi_final_demand_services,ppi_energy,ppi_foods,ppi_goods_less_food_energy,ppi_less_food_energy_trade,ppi_trade_services,cpi_headline,cpi_core,cpi_energy,cpi_core_goods,ppi_final_demand_mom,ppi_final_demand_yoy,ppi_final_demand_ann3,ppi_final_demand_goods_mom,ppi_final_demand_goods_yoy,ppi_final_demand_goods_ann3,ppi_finished_goods_mom,ppi_finished_goods_yoy,ppi_finished_goods_ann3,ppi_final_demand_services_mom,ppi_final_demand_services_yoy,ppi_final_demand_services_ann3,ppi_energy_mom,ppi_energy_yoy,ppi_energy_ann3,ppi_foods_mom,ppi_foods_yoy,ppi_foods_ann3,ppi_goods_less_food_energy_mom,ppi_goods_less_food_energy_yoy,ppi_goods_less_food_energy_ann3,ppi_less_food_energy_trade_mom,ppi_less_food_energy_trade_yoy,ppi_less_food_energy_trade_ann3,ppi_trade_services_mom,ppi_trade_services_yoy,ppi_trade_services_ann3,cpi_headline_mom,cpi_headline_yoy,cpi_headline_ann3,cpi_core_mom,cpi_core_yoy,cpi_core_ann3,cpi_energy_mom,cpi_energy_yoy,cpi_energy_ann3,cpi_core_goods_mom,cpi_core_goods_yoy,cpi_core_goods_ann3
2023-11-01,142.334,142.028,254.558,140.653,137.962,265.25,141.41,129.141,152.383,308.148,312.392,282.146,166.254,0.05975437437171216,,-0.21049448402088444,-0.6324685864606883,,-6.978688757378759,-0.30079192874991056,,-3.1936676523928287,-0.11433522235004823,,0.11383605032324606,-4.125810464283985,,-34.292132546464615,0.31768843841004646,,2.0403298642938106,0.10264396701236134,,1.8194355590208433,0.12016808025676617,,1.8960754587492357,0.5450094683848494,,-2.1774690927130025,0.14689823722116024,,2.7273893850826347,0.30020195404181216,,3.6831136165865974,-1.6107265531009607,,-6.997928507784246,-0.26575163320275985,,-1.8618907605294832
2023-12-01,142.165,140.693,254.434,140.359,131.199,266.115,141.555,129.567,150.376,308.741,313.195,280.763,166.117,-0.1187348068627414,,-1.6126399595695395,-0.9399555017320371,,-11.460147024671507,-0.048711884914243164,,-7.517598197741126,-0.20902504745720085,,-0.08260254559264713,-4.902074484278263,,-48.243728262073034,0.3261074458058566,,2.7675265370975977,0.10253871720529162,,1.189937807524144,0.3298720003716893,,2.0131131955106296,-1.3170760517905555,,-2.942481565943922,0.1924399963653789,,1.9207622630458943,0.25704883607775564,,3.4652901491389665,-0.49017175504881827,,-15.252740459444269,-0.08240403238418681,,-1.0548916740234726
2024-01-01,142.576,141.569,254.678,141.309,133.356,267.62,141.923,130.175,150.506,309.698,314.319,279.953,165.637,0.2891006928569029,0.9723589442150571,0.9226898846300458,0.62263225604684,-1.4733516139359581,-3.760186077287131,0.09589913297751718,-0.9736295697210573,-1.0113146352158653,0.676835828126432,2.305899047232929,1.413541875685298,1.6440674090503649,-9.259410467869689,-26.240300622252665,0.5655449711590821,-1.6786130225688867,4.945243799923316,0.2599696231146975,1.5505595466384303,1.8762231331530765,0.46925528876951006,2.719998737453455,3.738519422819575,0.08644996542002126,-0.5438481718639587,-2.745153109323517,0.30996854969052023,3.0883429864855705,2.6280792400442676,0.3588818467727739,3.8583540949372663,3.726602252863942,-0.2884995530037848,-4.327187601455851,-9.16861699769742,-0.2889529668847812,-0.3309524812410203,-2.519378832153063
2024-02-01,143.356,143.601,257.529,141.989,140.612,272.477,142.351,130.666,150.918,310.967,315.564,283.331,165.903,0.5470766468409938,1.573670599071808,2.9032000127057866,1.435342483170765,0.1757947387146075,4.504254391184226,1.1194527992209657,0.9035235852568047,4.750852271865358,0.48121492615473827,2.421518841248771,3.853898385603549,5.441075017247066,-4.218521167535172,7.907496182484897,1.814886779762337,2.638696359691406,11.351949732618127,0.3015719791717997,1.605984254216608,2.6884504248042784,0.37718455924715677,2.745844276345788,4.807848510715407,0.2737432394721795,-0.1957490708532239,-3.7904712801252627,0.40975401843086345,3.157074141648697,3.7098013040746336,0.39609441363710474,3.7619647313751337,4.123844617339589,1.2066311130797036,-1.8603958406938625,1.6905947158181833,0.16059213822998686,-0.30347098697177666,-0.8418203530846213
2024-03-01,143.521,144.301,257.987,142.445,143.075,272.437,142.427,130.98,150.436,312.345,316.792,288.688,165.775,0.11509807751330925,1.97888244656661,3.870219489107196,0.48746178647780525,0.7878580458605899,10.659168394705997,0.177844048631437,1.870483711747295,5.703825985832478,0.32115163850721107,2.653445082622885,6.07859934068149,1.7516285949989996,-0.8035553336938728,41.42719207912342,-0.014680138140088506,2.0546764961491215,9.84668052475277,0.05338915778603237,1.4552940506040724,2.48692202189964,0.24030734850688518,2.8762625865941915,4.434100753852777,-0.31937873547224216,0.09914363850498376,0.15969548209462392,0.4431338373525273,3.4868349120836584,4.751682384185307,0.3891445158509699,3.8161935067360986,4.673691934009683,1.8907214530001992,2.057496782951773,11.777767156279072,-0.07715351741679477,-0.5876885250816977,-0.8209762749084248
2024-04-01,144.197,145.052,258.631,143.254,145.893,271.797,142.821,131.634,151.11,313.023,317.649,287.611,165.598,0.4710112109029385,2.3152681396966024,4.625897108984445,0.5204399137913152,1.1929511238855106,10.210310970883185,0.24962498110367992,1.8866066293205863,6.354677107586348,0.5679385025799455,2.9471157646619117,5.620382836816051,1.9695963655425475,0.9486444970316033,43.24767359155381,-0.23491669633712853,2.0722625516845117,6.390872344826737,0.27663294178772446,1.575323954881025,2.5550727722156275,0.49931287219422416,3.2051181534505035,4.559131864528632,0.448031056396081,0.21288024988561638,1.6149406195570704,0.21706766556210955,3.3607951262196734,4.364163046261771,0.27052450819466944,3.6260251717590952,4.305553834951281,-0.3730671174416611,2.403688670511994,11.39904435628365,-0.10677122605941003,-1.132571121526016,-0.09414859739215187
2024-05-01,144.224,144.297,257.126,143.504,141.064,270.738,143.201,131.911,151.798,313.175,318.095,284.165,165.375,0.018724384002433148,2.5673119319555626,2.4440282743734443,-0.520502992030436,1.5811222729864793,1.9528454261386496,-0.5819101345159727,2.319158926851772,-0.6244811592974298,0.17451519678333138,3.1327032951237843,4.336730729326166,-3.3099600392068163,1.8093636553909276,1.2920209327071719,-0.38962902460293325,2.494037478705291,-2.528540431340698,0.2660673150306936,1.7117571435674162,2.409940430032753,0.21043195526992964,3.394732716726767,3.866061688662459,0.4552974654225217,0.22845522013574815,2.352872046854859,0.04855873210594108,3.244278584003113,2.870565875872777,0.14040654936740005,3.394419668976645,3.2470284319256804,-1.198146107068221,3.6066255154535876,1.1826303752672462,-0.13466346211911118,-1.7151924688430409,-1.2669686222771648
2024-06-01,144.869,144.274,256.595,144.704,139.845,272.383,143.322,132.21,154.764,313.044,318.39,278.284,165.079,0.4472209895717949,2.9645055366813944,3.810203479783092,-0.01593934731837221,1.3323781228709697,-0.07482255295566675,-0.2065135381096983,1.7120138261269569,-2.1408433978523878,0.8362136247073382,3.807856753421923,6.496002734842388,-0.864146770260299,-0.6775616304093068,-8.729011362960748,0.6075984900531184,2.9562068626635574,-0.07926081557716458,0.08449661664373664,1.9374386548884015,2.5373603621985596,0.22666798068395888,3.3673956044815156,3.8095423765617697,1.9539124362639937,3.0056972472179533,12.014094997339608,-0.041829647960411886,2.9702579486470926,0.8981734317599965,0.09273959037392476,3.2654173234475614,2.0330462208679068,-2.0695722555557627,0.93285747446612,-13.654835413893307,-0.17898715041572144,-1.7743557398801624,-1.6688380310252104
2024-07-01,144.922,144.976,257.366,144.263,142.897,272.679,143.575,132.712,152.274,313.569,318.94,278.287,164.669,0.03658477659125303,2.4292327808601577,2.0263559731658054,0.4865741575058591,1.6704770186683815,-0.2094153560307621,0.30047350883686264,1.9243030886272328,-1.9421481429314769,-0.3047600619195068,2.7609394032211076,2.8472793246919093,2.1824162465586827,0.24975270273113193,-7.964658980674011,0.10867051174265896,3.358754899210825,1.3043595353974702,0.1765255857439696,2.105038580521268,2.1285160344926224,0.3796989637697479,3.5291914999844076,3.316209070750742,-1.6089012948747872,-0.6751071365673211,3.116984010327406,0.16770805381991494,2.9414757935583014,0.6995399416526604,0.17274411884795615,3.2301916105644812,1.6356314502684377,0.0010780353883133031,0.9940191908487828,-12.350446581441588,-0.24836593388619654,-1.6678410624499707,-2.2251759115410885
2024-08-01,145.409,144.533,257.706,144.944,139.845,275.672,143.815,133.04,153.993,314.062,319.75,275.706,164.399,0.33604283683636993,2.106608430646939,3.327281972276497,-0.3055678181216326,-0.06015765454294719,0.6558129526546663,0.13210758219812657,0.4184980828579432,0.9053388841310905,0.47205451155181155,3.0800850561470083,4.074646053203113,-2.135804110653128,-8.737616977955287,-3.4120396654891194,1.0976276134209373,4.455239206711292,7.491410767117546,0.16716002089500748,2.160200036938642,1.7261339037199175,0.2471517270480561,3.5040766789070643,3.4677235687408547,1.128886086922254,0.5018796011068805,5.910671248711519,0.1572221743858515,2.607144490692037,1.1377350962952892,0.25396626324700744,3.2850959364300047,2.097437468906649,-0.9274597807299556,-4.038843061501507,-11.38596205979281,-0.16396528794127008,-1.5792908158072771,-2.339879181987814
