state,indicator,cycle,index_value
TN,Future delivery time,202515,54.9
TN,Future demand,202515,55.6
TN,Future output prices,202515,66.0
TN,Future input prices,202515,74.5
TX,Current performance,202515,55.1
TX,Revenues,202515,39.7
TX,Employees,202515,47.6
TX,Hours,202515,45.7
TX,Delivery time,202515,52.1
TX,Demand,202515,40.8
TX,Output prices,202515,55.9
TX,Input prices,202515,70.4
TX,Future performance,202515,54.8
TX,Future employees,202515,52.1
TX,Future hours,202515,51.0
TX,Future delivery time,202515,52.7
TX,Future demand,202515,53.4
TX,Future output prices,202515,64.2
TX,Future input prices,202515,75.2
UT,Current performance,202515,57.5
UT,Revenues,202515,45.8
UT,Employees,202515,47.9
UT,Hours,202515,48.9
UT,Delivery time,202515,51.7
UT,Demand,202515,47.2
UT,Output prices,202515,55.7
UT,Input prices,202515,69.3
UT,Future performance,202515,57.3
UT,Future employees,202515,53.3
UT,Future hours,202515,54.1
UT,Future delivery time,202515,55.2
UT,Future demand,202515,55.2
UT,Future output prices,202515,64.8
UT,Future input prices,202515,76.8
VA,Current performance,202515,55.7
VA,Revenues,202515,40.8
VA,Employees,202515,47.7
VA,Hours,202515,46.6
VA,Delivery time,202515,53.3
VA,Demand,202515,43.6
VA,Output prices,202515,55.9
VA,Input prices,202515,70.1
VA,Future performance,202515,54.5
VA,Future employees,202515,52.0
VA,Future hours,202515,49.8
VA,Future delivery time,202515,55.3
VA,Future demand,202515,51.6
VA,Future output prices,202515,64.1
VA,Future input prices,202515,75.7
VT,Current performance,202515,61.5
VT,Revenues,202515,43.3
VT,Employees,202515,50.0
VT,Hours,202515,46.6
VT,Delivery time,202515,55.0
VT,Demand,202515,48.8
VT,Output prices,202515,55.7
VT,Input prices,202515,72.0
VT,Future performance,202515,55.1
VT,Future employees,202515,51.1
VT,Future hours,202515,50.1
VT,Future delivery time,202515,56.2
VT,Future demand,202515,52.9
VT,Future output prices,202515,69.1
VT,Future input prices,202515,82.6
WA,Current performance,202515,55.5
WA,Revenues,202515,43.6
WA,Employees,202515,47.2
WA,Hours,202515,46.3
WA,Delivery time,202515,52.7
WA,Demand,202515,44.2
WA,Output prices,202515,55.5
WA,Input prices,202515,71.7
WA,Future performance,202515,54.9
WA,Future employees,202515,49.1
WA,Future hours,202515,48.7
WA,Future delivery time,202515,55.1
WA,Future demand,202515,52.2
WA,Future output prices,202515,66.5
WA,Future input prices,202515,78.8
WI,Current performance,202515,58.8
WI,Revenues,202515,45.5
WI,Employees,202515,50.0
WI,Hours,202515,46.3
WI,Delivery time,202515,53.6
WI,Demand,202515,46.1
WI,Output prices,202515,58.2
WI,Input prices,202515,70.1
WI,Future performance,202515,57.0
WI,Future employees,202515,50.3
WI,Future hours,202515,48.8
WI,Future delivery time,202515,52.5
WI,Future demand,202515,50.0
WI,Future output prices,202515,67.0
WI,Future input prices,202515,77.3
WV,Current performance,202515,62.3
WV,Revenues,202515,41.9
WV,Employees,202515,51.9
WV,Hours,202515,52.4
WV,Delivery time,202515,54.0
WV,Demand,202515,49.5
WV,Output prices,202515,55.4
WV,Input prices,202515,70.5
WV,Future performance,202515,58.2
WV,Future employees,202515,49.7
WV,Future hours,202515,50.3
WV,Future delivery time,202515,52.6
WV,Future demand,202515,53.3
WV,Future output prices,202515,67.1
WV,Future input prices,202515,79.9
WY,Current performance,202515,59.5
WY,Revenues,202515,44.8
WY,Employees,202515,44.9
WY,Hours,202515,49.6
WY,Delivery time,202515,58.0
WY,Demand,202515,45.7
WY,Output prices,202515,59.3
WY,Input prices,202515,72.3
WY,Future performance,202515,57.1
WY,Future employees,202515,50.4
WY,Future hours,202515,51.4
WY,Future delivery time,202515,52.6
WY,Future demand,202515,50.8
WY,Future output prices,202515,61.9
WY,Future input prices,202515,74.4
,,202515,
"Source: U.S. Census Bureau, Business Trends and Outlook Survey (BTOS) 2023-2025. The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data (Project No. P-7529868, Disclosure Review Board (DRB) approval numbers: CBDRB-FY25-0425).",,202515,
AK,Current performance,202514,62.9
AK,Revenues,202514,47.5
AK,Employees,202514,52.7
AK,Hours,202514,50.0
AK,Delivery time,202514,57.1
AK,Demand,202514,53.3
AK,Output prices,202514,61.1
AK,Input prices,202514,74.6
AK,Future performance,202514,57.2
AK,Future employees,202514,40.0
AK,Future hours,202514,39.1
AK,Future delivery time,202514,52.0
AK,Future demand,202514,46.3
AK,Future output prices,202514,67.0
AK,Future input prices,202514,77.8
AL,Current performance,202514,55.0
AL,Revenues,202514,42.0
AL,Employees,202514,47.9
AL,Hours,202514,45.2
AL,Delivery time,202514,51.8
AL,Demand,202514,46.9
AL,Output prices,202514,52.1
AL,Input prices,202514,62.3
AL,Future performance,202514,55.1
AL,Future employees,202514,52.2
AL,Future hours,202514,51.8
AL,Future delivery time,202514,53.1
AL,Future demand,202514,57.1
AL,Future output prices,202514,61.0
AL,Future input prices,202514,69.9
AR,Current performance,202514,53.9
AR,Revenues,202514,45.4
AR,Employees,202514,47.3
AR,Hours,202514,46.7
AR,Delivery time,202514,52.5
AR,Demand,202514,46.6
AR,Output prices,202514,55.4
AR,Input prices,202514,63.8
AR,Future performance,202514,55.2
AR,Future employees,202514,51.8
AR,Future hours,202514,48.2
AR,Future delivery time,202514,53.0
AR,Future demand,202514,52.5
AR,Future output prices,202514,58.8
AR,Future input prices,202514,69.7
AZ,Current performance,202514,52.7
AZ,Revenues,202514,39.8
AZ,Employees,202514,45.3
AZ,Hours,202514,43.6
AZ,Delivery time,202514,51.4
AZ,Demand,202514,41.6
AZ,Output prices,202514,54.4
AZ,Input prices,202514,66.4
AZ,Future performance,202514,53.5
AZ,Future employees,202514,52.0
AZ,Future hours,202514,51.2
AZ,Future delivery time,202514,54.2
AZ,Future demand,202514,53.2
AZ,Future output prices,202514,65.2
AZ,Future input prices,202514,74.4
CA,Current performance,202514,47.5
CA,Revenues,202514,36.5
CA,Employees,202514,46.0
CA,Hours,202514,42.4
CA,Delivery time,202514,51.5
CA,Demand,202514,38.3
CA,Output prices,202514,53.2
CA,Input prices,202514,68.1
CA,Future performance,202514,47.5
CA,Future employees,202514,47.7
CA,Future hours,202514,46.2
CA,Future delivery time,202514,52.8
CA,Future demand,202514,45.6
CA,Future output prices,202514,61.5
CA,Future input prices,202514,73.2
CO,Current performance,202514,50.1
CO,Revenues,202514,43.2
CO,Employees,202514,48.1
CO,Hours,202514,45.2
CO,Delivery time,202514,53.1
CO,Demand,202514,46.7
CO,Output prices,202514,55.1
CO,Input prices,202514,66.8
CO,Future performance,202514,52.5
CO,Future employees,202514,47.7
CO,Future hours,202514,48.1
CO,Future delivery time,202514,53.7
CO,Future demand,202514,49.3
CO,Future output prices,202514,62.3
CO,Future input prices,202514,75.7
CT,Current performance,202514,54.7
CT,Revenues,202514,42.7
CT,Employees,202514,46.5
CT,Hours,202514,48.2
CT,Delivery time,202514,51.7
CT,Demand,202514,45.0
CT,Output prices,202514,54.5
CT,Input prices,202514,67.1
CT,Future performance,202514,54.5
CT,Future employees,202514,49.6
CT,Future hours,202514,48.3
CT,Future delivery time,202514,52.4
CT,Future demand,202514,50.5
CT,Future output prices,202514,64.6
CT,Future input prices,202514,76.3
DC,Current performance,202514,52.9
DC,Revenues,202514,39.4
DC,Employees,202514,53.4
DC,Hours,202514,51.0
DC,Delivery time,202514,53.2
DC,Demand,202514,47.7
DC,Output prices,202514,53.1
DC,Input prices,202514,68.4
DC,Future performance,202514,51.2
DC,Future employees,202514,51.4
DC,Future hours,202514,57.4
DC,Future delivery time,202514,52.6
DC,Future demand,202514,57.6
DC,Future output prices,202514,59.3
DC,Future input prices,202514,72.8
DE,Current performance,202514,54.3
DE,Revenues,202514,49.0
DE,Employees,202514,52.2
DE,Hours,202514,53.6
DE,Delivery time,202514,51.2
DE,Demand,202514,46.2
DE,Output prices,202514,53.2
DE,Input prices,202514,67.4
DE,Future performance,202514,57.1
DE,Future employees,202514,49.8
DE,Future hours,202514,51.1
DE,Future delivery time,202514,51.7
DE,Future demand,202514,50.8
DE,Future output prices,202514,58.1
DE,Future input prices,202514,75.4
FL,Current performance,202514,52.0
FL,Revenues,202514,37.2
FL,Employees,202514,47.0
FL,Hours,202514,44.6
FL,Delivery time,202514,53.1
FL,Demand,202514,40.3
FL,Output prices,202514,54.4
FL,Input prices,202514,67.2
FL,Future performance,202514,52.0
FL,Future employees,202514,50.7
FL,Future hours,202514,49.0
FL,Future delivery time,202514,52.5
FL,Future demand,202514,51.2
FL,Future output prices,202514,60.9
FL,Future input prices,202514,71.4
GA,Current performance,202514,52.2
GA,Revenues,202514,41.6
GA,Employees,202514,46.3
GA,Hours,202514,44.6
GA,Delivery time,202514,52.0
GA,Demand,202514,43.6
GA,Output prices,202514,53.8
GA,Input prices,202514,66.0
GA,Future performance,202514,52.2
GA,Future employees,202514,51.2
GA,Future hours,202514,51.2
GA,Future delivery time,202514,51.3
GA,Future demand,202514,51.9
GA,Future output prices,202514,60.4
GA,Future input prices,202514,70.0
HI,Current performance,202514,48.6
HI,Revenues,202514,35.1
HI,Employees,202514,47.9
HI,Hours,202514,40.8
HI,Delivery time,202514,59.2
HI,Demand,202514,35.7
HI,Output prices,202514,60.4
HI,Input prices,202514,70.6
HI,Future performance,202514,49.1
HI,Future employees,202514,52.4
HI,Future hours,202514,46.0
HI,Future delivery time,202514,61.7
HI,Future demand,202514,49.0
HI,Future output prices,202514,72.1
HI,Future input prices,202514,81.0
IA,Current performance,202514,54.6
IA,Revenues,202514,45.4
IA,Employees,202514,48.1
IA,Hours,202514,48.8
IA,Delivery time,202514,52.2
IA,Demand,202514,46.5
IA,Output prices,202514,55.1
IA,Input prices,202514,70.0
IA,Future performance,202514,53.7
IA,Future employees,202514,49.9
IA,Future hours,202514,47.3
IA,Future delivery time,202514,54.6
IA,Future demand,202514,50.2
IA,Future output prices,202514,67.4
IA,Future input prices,202514,75.5
ID,Current performance,202514,60.1
ID,Revenues,202514,46.5
ID,Employees,202514,44.6
ID,Hours,202514,47.0
ID,Delivery time,202514,53.0
ID,Demand,202514,48.9
ID,Output prices,202514,54.1
ID,Input prices,202514,64.6
ID,Future performance,202514,54.9
ID,Future employees,202514,50.0
ID,Future hours,202514,47.8
ID,Future delivery time,202514,54.3
ID,Future demand,202514,53.2
ID,Future output prices,202514,60.4
ID,Future input prices,202514,73.6
IL,Current performance,202514,53.1
IL,Revenues,202514,43.8
IL,Employees,202514,48.4
IL,Hours,202514,46.5
IL,Delivery time,202514,53.6
IL,Demand,202514,44.6
IL,Output prices,202514,57.0
IL,Input prices,202514,69.0
IL,Future performance,202514,52.0
IL,Future employees,202514,51.9
IL,Future hours,202514,49.0
IL,Future delivery time,202514,54.9
IL,Future demand,202514,49.6
IL,Future output prices,202514,61.9
IL,Future input prices,202514,72.9
IN,Current performance,202514,53.5
IN,Revenues,202514,42.0
IN,Employees,202514,49.3
IN,Hours,202514,47.2
IN,Delivery time,202514,52.8
IN,Demand,202514,44.2
IN,Output prices,202514,55.6
IN,Input prices,202514,65.2
IN,Future performance,202514,52.5
IN,Future employees,202514,51.5
IN,Future hours,202514,51.1
IN,Future delivery time,202514,54.0
IN,Future demand,202514,53.0
IN,Future output prices,202514,62.8
IN,Future input prices,202514,71.5
KS,Current performance,202514,55.2
KS,Revenues,202514,48.6
KS,Employees,202514,49.7
KS,Hours,202514,49.6
KS,Delivery time,202514,57.0
KS,Demand,202514,50.2
KS,Output prices,202514,55.6
KS,Input prices,202514,67.4
KS,Future performance,202514,54.6
KS,Future employees,202514,51.4
KS,Future hours,202514,53.0
KS,Future delivery time,202514,56.8
KS,Future demand,202514,56.7
KS,Future output prices,202514,61.0
KS,Future input prices,202514,73.7
KY,Current performance,202514,56.1
KY,Revenues,202514,47.4
KY,Employees,202514,49.9
KY,Hours,202514,50.7
KY,Delivery time,202514,53.8
KY,Demand,202514,47.4
KY,Output prices,202514,54.2
KY,Input prices,202514,67.9
KY,Future performance,202514,54.7
KY,Future employees,202514,50.5
KY,Future hours,202514,50.9
KY,Future delivery time,202514,54.7
KY,Future demand,202514,53.9
KY,Future output prices,202514,64.0
KY,Future input prices,202514,74.9
LA,Current performance,202514,52.3
LA,Revenues,202514,43.4
LA,Employees,202514,46.9
LA,Hours,202514,47.3
LA,Delivery time,202514,50.9
LA,Demand,202514,45.0
LA,Output prices,202514,52.4
LA,Input prices,202514,65.2
LA,Future performance,202514,53.9
LA,Future employees,202514,49.8
LA,Future hours,202514,50.5
LA,Future delivery time,202514,55.9
LA,Future demand,202514,54.1
LA,Future output prices,202514,60.3
LA,Future input prices,202514,69.1
MA,Current performance,202514,53.8
MA,Revenues,202514,48.8
MA,Employees,202514,49.8
MA,Hours,202514,49.0
MA,Delivery time,202514,53.4
MA,Demand,202514,48.6
MA,Output prices,202514,55.2
MA,Input prices,202514,68.1
MA,Future performance,202514,52.4
MA,Future employees,202514,49.0
MA,Future hours,202514,48.9
MA,Future delivery time,202514,56.5
MA,Future demand,202514,49.5
MA,Future output prices,202514,60.9
MA,Future input prices,202514,72.7
MD,Current performance,202514,49.9
MD,Revenues,202514,38.0
MD,Employees,202514,47.9
MD,Hours,202514,47.2
MD,Delivery time,202514,53.4
MD,Demand,202514,40.4
MD,Output prices,202514,55.8
MD,Input prices,202514,68.1
MD,Future performance,202514,50.8
MD,Future employees,202514,47.6
MD,Future hours,202514,47.5
MD,Future delivery time,202514,53.0
MD,Future demand,202514,48.1
MD,Future output prices,202514,63.7
MD,Future input prices,202514,75.8
ME,Current performance,202514,52.4
ME,Revenues,202514,42.3
ME,Employees,202514,47.6
ME,Hours,202514,50.3
ME,Delivery time,202514,49.5
ME,Demand,202514,50.1
ME,Output prices,202514,54.4
ME,Input prices,202514,72.9
ME,Future performance,202514,51.6
ME,Future employees,202514,45.8
ME,Future hours,202514,45.5
ME,Future delivery time,202514,48.4
ME,Future demand,202514,45.7
ME,Future output prices,202514,64.2
ME,Future input prices,202514,75.6
MI,Current performance,202514,52.1
MI,Revenues,202514,43.8
MI,Employees,202514,48.0
MI,Hours,202514,45.2
MI,Delivery time,202514,52.7
MI,Demand,202514,44.1
MI,Output prices,202514,55.1
MI,Input prices,202514,69.6
MI,Future performance,202514,52.3
MI,Future employees,202514,49.9
MI,Future hours,202514,48.6
MI,Future delivery time,202514,53.4
MI,Future demand,202514,48.6
MI,Future output prices,202514,63.6
MI,Future input prices,202514,75.1
MN,Current performance,202514,53.2
MN,Revenues,202514,45.1
MN,Employees,202514,47.7
MN,Hours,202514,49.1
MN,Delivery time,202514,54.6
MN,Demand,202514,46.4
MN,Output prices,202514,57.5
MN,Input prices,202514,70.0
MN,Future performance,202514,53.4
MN,Future employees,202514,51.2
MN,Future hours,202514,49.4
MN,Future delivery time,202514,54.6
MN,Future demand,202514,51.9
MN,Future output prices,202514,62.7
MN,Future input prices,202514,75.4
MO,Current performance,202514,53.9
MO,Revenues,202514,45.6
MO,Employees,202514,49.5
MO,Hours,202514,49.4
MO,Delivery time,202514,51.8
MO,Demand,202514,46.4
MO,Output prices,202514,56.1
MO,Input prices,202514,71.9
MO,Future performance,202514,54.3
MO,Future employees,202514,51.6
MO,Future hours,202514,48.6
MO,Future delivery time,202514,54.5
MO,Future demand,202514,53.3
MO,Future output prices,202514,62.7
MO,Future input prices,202514,75.9
MS,Current performance,202514,55.3
MS,Revenues,202514,45.1
MS,Employees,202514,51.2
MS,Hours,202514,46.2
MS,Delivery time,202514,49.6
MS,Demand,202514,50.5
MS,Output prices,202514,53.9
MS,Input prices,202514,64.9
MS,Future performance,202514,57.8
MS,Future employees,202514,52.8
MS,Future hours,202514,52.5
MS,Future delivery time,202514,54.9
MS,Future demand,202514,55.8
MS,Future output prices,202514,64.5
MS,Future input prices,202514,73.8
MT,Current performance,202514,59.7
MT,Revenues,202514,50.8
MT,Employees,202514,54.2
MT,Hours,202514,50.5
MT,Delivery time,202514,49.8
MT,Demand,202514,53.6
MT,Output prices,202514,61.7
MT,Input prices,202514,73.2
MT,Future performance,202514,57.6
MT,Future employees,202514,47.2
MT,Future hours,202514,45.7
MT,Future delivery time,202514,55.8
MT,Future demand,202514,49.4
MT,Future output prices,202514,67.6
MT,Future input prices,202514,75.2
NC,Current performance,202514,54.0
NC,Revenues,202514,43.4
NC,Employees,202514,48.5
NC,Hours,202514,46.8
NC,Delivery time,202514,52.8
NC,Demand,202514,47.6
NC,Output prices,202514,56.8
NC,Input prices,202514,67.5
NC,Future performance,202514,53.7
NC,Future employees,202514,49.9
NC,Future hours,202514,49.5
NC,Future delivery time,202514,54.4
NC,Future demand,202514,52.7
NC,Future output prices,202514,62.4
NC,Future input prices,202514,71.3
ND,Current performance,202514,57.1
ND,Revenues,202514,42.6
ND,Employees,202514,47.2
ND,Hours,202514,44.3
ND,Delivery time,202514,53.6
ND,Demand,202514,50.2
ND,Output prices,202514,57.1
ND,Input prices,202514,68.2
ND,Future performance,202514,57.5
ND,Future employees,202514,48.0
ND,Future hours,202514,49.4
ND,Future delivery time,202514,59.8
ND,Future demand,202514,47.3
ND,Future output prices,202514,63.2
ND,Future input prices,202514,80.0
NE,Current performance,202514,57.7
NE,Revenues,202514,46.8
NE,Employees,202514,49.3
NE,Hours,202514,48.8
NE,Delivery time,202514,54.6
NE,Demand,202514,46.6
NE,Output prices,202514,52.4
NE,Input prices,202514,66.9
NE,Future performance,202514,55.3
NE,Future employees,202514,51.6
NE,Future hours,202514,51.2
NE,Future delivery time,202514,53.7
NE,Future demand,202514,50.9
NE,Future output prices,202514,63.2
NE,Future input prices,202514,71.6
NH,Current performance,202514,56.9
NH,Revenues,202514,49.3
NH,Employees,202514,54.0
NH,Hours,202514,47.8
NH,Delivery time,202514,55.9
NH,Demand,202514,45.9
NH,Output prices,202514,59.3
NH,Input prices,202514,69.2
NH,Future performance,202514,56.0
NH,Future employees,202514,50.6
NH,Future hours,202514,47.3
NH,Future delivery time,202514,57.4
NH,Future demand,202514,48.5
NH,Future output prices,202514,66.6
NH,Future input prices,202514,73.7
NJ,Current performance,202514,49.7
NJ,Revenues,202514,41.4
NJ,Employees,202514,47.9
NJ,Hours,202514,47.2
NJ,Delivery time,202514,52.1
NJ,Demand,202514,42.7
NJ,Output prices,202514,55.8
NJ,Input prices,202514,66.0
NJ,Future performance,202514,49.0
NJ,Future employees,202514,49.9
NJ,Future hours,202514,48.6
NJ,Future delivery time,202514,54.7
NJ,Future demand,202514,50.5
NJ,Future output prices,202514,61.8
NJ,Future input prices,202514,70.5
NM,Current performance,202514,56.1
NM,Revenues,202514,48.9
NM,Employees,202514,50.5
NM,Hours,202514,50.4
NM,Delivery time,202514,55.9
NM,Demand,202514,49.2
NM,Output prices,202514,52.4
NM,Input prices,202514,66.9
NM,Future performance,202514,54.7
NM,Future employees,202514,47.2
NM,Future hours,202514,49.2
NM,Future delivery time,202514,53.9
NM,Future demand,202514,53.9
NM,Future output prices,202514,62.5
NM,Future input prices,202514,74.2
NV,Current performance,202514,53.7
NV,Revenues,202514,40.5
NV,Employees,202514,47.4
NV,Hours,202514,46.0
NV,Delivery time,202514,51.9
NV,Demand,202514,42.1
NV,Output prices,202514,53.0
NV,Input prices,202514,66.1
NV,Future performance,202514,55.0
NV,Future employees,202514,49.2
NV,Future hours,202514,47.2
NV,Future delivery time,202514,54.5
NV,Future demand,202514,52.7
NV,Future output prices,202514,59.6
NV,Future input prices,202514,72.3
NY,Current performance,202514,51.8
NY,Revenues,202514,44.2
NY,Employees,202514,49.2
NY,Hours,202514,47.2
NY,Delivery time,202514,51.5
NY,Demand,202514,44.7
NY,Output prices,202514,54.5
NY,Input prices,202514,64.5
NY,Future performance,202514,51.6
NY,Future employees,202514,49.0
NY,Future hours,202514,47.6
NY,Future delivery time,202514,53.3
NY,Future demand,202514,49.4
NY,Future output prices,202514,61.4
NY,Future input prices,202514,70.8
OH,Current performance,202514,54.4
OH,Revenues,202514,44.6
OH,Employees,202514,48.3
OH,Hours,202514,46.9
OH,Delivery time,202514,55.3
OH,Demand,202514,46.7
OH,Output prices,202514,56.9
OH,Input prices,202514,68.1
OH,Future performance,202514,53.8
OH,Future employees,202514,51.1
OH,Future hours,202514,50.0
OH,Future delivery time,202514,56.2
OH,Future demand,202514,51.7
OH,Future output prices,202514,64.7
OH,Future input prices,202514,75.4
OK,Current performance,202514,56.8
OK,Revenues,202514,47.9
OK,Employees,202514,47.0
OK,Hours,202514,46.4
OK,Delivery time,202514,52.1
OK,Demand,202514,48.9
OK,Output prices,202514,53.8
OK,Input prices,202514,67.3
OK,Future performance,202514,54.8
OK,Future employees,202514,54.1
OK,Future hours,202514,53.6
OK,Future delivery time,202514,51.8
OK,Future demand,202514,56.6
OK,Future output prices,202514,61.7
OK,Future input prices,202514,72.3
OR,Current performance,202514,50.2
OR,Revenues,202514,42.2
OR,Employees,202514,49.2
OR,Hours,202514,48.5
OR,Delivery time,202514,54.6
OR,Demand,202514,45.6
OR,Output prices,202514,52.3
OR,Input prices,202514,69.1
OR,Future performance,202514,51.1
OR,Future employees,202514,52.2
OR,Future hours,202514,50.8
OR,Future delivery time,202514,55.8
OR,Future demand,202514,52.0
OR,Future output prices,202514,64.3
OR,Future input prices,202514,77.4
PA,Current performance,202514,54.0
PA,Revenues,202514,44.6
PA,Employees,202514,47.8
PA,Hours,202514,46.9
PA,Delivery time,202514,53.0
PA,Demand,202514,47.0
PA,Output prices,202514,54.0
PA,Input prices,202514,66.9
PA,Future performance,202514,54.7
PA,Future employees,202514,53.0
PA,Future hours,202514,50.7
PA,Future delivery time,202514,53.8
PA,Future demand,202514,53.3
PA,Future output prices,202514,62.3
PA,Future input prices,202514,73.1
RI,Current performance,202514,58.4
RI,Revenues,202514,45.0
RI,Employees,202514,51.4
RI,Hours,202514,51.0
RI,Delivery time,202514,53.7
RI,Demand,202514,46.4
RI,Output prices,202514,57.5
RI,Input prices,202514,66.0
RI,Future performance,202514,55.5
RI,Future employees,202514,48.4
RI,Future hours,202514,45.8
RI,Future delivery time,202514,53.1
RI,Future demand,202514,52.5
RI,Future output prices,202514,66.2
RI,Future input prices,202514,73.6
SC,Current performance,202514,55.5
SC,Revenues,202514,46.0
SC,Employees,202514,47.6
SC,Hours,202514,48.8
SC,Delivery time,202514,49.5
SC,Demand,202514,49.8
SC,Output prices,202514,56.6
SC,Input prices,202514,67.2
SC,Future performance,202514,56.6
SC,Future employees,202514,55.0
SC,Future hours,202514,53.3
SC,Future delivery time,202514,50.7
SC,Future demand,202514,54.3
SC,Future output prices,202514,64.8
SC,Future input prices,202514,72.7
SD,Current performance,202514,54.5
SD,Revenues,202514,51.6
SD,Employees,202514,50.7
SD,Hours,202514,46.0
SD,Delivery time,202514,60.5
SD,Demand,202514,51.1
SD,Output prices,202514,57.8
SD,Input prices,202514,69.7
SD,Future performance,202514,51.3
SD,Future employees,202514,50.0
SD,Future hours,202514,50.0
SD,Future delivery time,202514,59.5
SD,Future demand,202514,54.8
SD,Future output prices,202514,63.1
SD,Future input prices,202514,72.3
TN,Current performance,202514,53.6
TN,Revenues,202514,45.0
TN,Employees,202514,50.0
TN,Hours,202514,49.8
TN,Delivery time,202514,51.1
TN,Demand,202514,43.2
TN,Output prices,202514,54.9
TN,Input prices,202514,63.9
TN,Future performance,202514,54.3
TN,Future employees,202514,51.6
TN,Future hours,202514,49.5
TN,Future delivery time,202514,52.7
TN,Future demand,202514,54.2
TN,Future output prices,202514,61.5
TN,Future input prices,202514,69.5
TX,Current performance,202514,52.1
TX,Revenues,202514,41.5
TX,Employees,202514,48.0
TX,Hours,202514,47.2
TX,Delivery time,202514,53.8
TX,Demand,202514,42.7
TX,Output prices,202514,54.9
TX,Input prices,202514,67.6
TX,Future performance,202514,52.9
TX,Future employees,202514,51.5
TX,Future hours,202514,50.9
TX,Future delivery time,202514,54.4
TX,Future demand,202514,53.8
TX,Future output prices,202514,61.9
TX,Future input prices,202514,72.0
UT,Current performance,202514,53.5
UT,Revenues,202514,43.3
UT,Employees,202514,48.4
UT,Hours,202514,48.4
UT,Delivery time,202514,54.7
UT,Demand,202514,45.7
UT,Output prices,202514,52.8
UT,Input prices,202514,65.5
UT,Future performance,202514,53.5
UT,Future employees,202514,49.5
UT,Future hours,202514,49.2
UT,Future delivery time,202514,56.8
UT,Future demand,202514,49.1
UT,Future output prices,202514,59.0
UT,Future input prices,202514,68.8
VA,Current performance,202514,51.6
VA,Revenues,202514,40.9
VA,Employees,202514,48.7
VA,Hours,202514,47.2
VA,Delivery time,202514,52.6
VA,Demand,202514,44.0
VA,Output prices,202514,54.2
VA,Input prices,202514,67.0
VA,Future performance,202514,52.2
VA,Future employees,202514,52.3
VA,Future hours,202514,49.9
VA,Future delivery time,202514,54.6
VA,Future demand,202514,51.0
VA,Future output prices,202514,62.8
VA,Future input prices,202514,74.9
VT,Current performance,202514,51.3
VT,Revenues,202514,42.4
VT,Employees,202514,49.4
VT,Hours,202514,49.7
VT,Delivery time,202514,54.2
VT,Demand,202514,42.1
VT,Output prices,202514,51.5
VT,Input prices,202514,70.1
VT,Future performance,202514,48.2
VT,Future employees,202514,47.0
VT,Future hours,202514,50.2
VT,Future delivery time,202514,61.3
VT,Future demand,202514,41.3
VT,Future output prices,202514,58.9
VT,Future input prices,202514,77.5
WA,Current performance,202514,52.0
WA,Revenues,202514,46.5
WA,Employees,202514,49.1
WA,Hours,202514,46.2
WA,Delivery time,202514,54.3
WA,Demand,202514,48.4
WA,Output prices,202514,54.8
WA,Input prices,202514,68.0
WA,Future performance,202514,52.5
WA,Future employees,202514,51.4
WA,Future hours,202514,50.6
WA,Future delivery time,202514,57.3
WA,Future demand,202514,50.3
WA,Future output prices,202514,63.8
WA,Future input prices,202514,75.9
WI,Current performance,202514,55.2
WI,Revenues,202514,46.7
WI,Employees,202514,50.8
WI,Hours,202514,50.2
WI,Delivery time,202514,52.6
WI,Demand,202514,49.2
WI,Output prices,202514,55.4
WI,Input prices,202514,68.8
WI,Future performance,202514,55.1
WI,Future employees,202514,51.7
WI,Future hours,202514,52.1
WI,Future delivery time,202514,53.5
WI,Future demand,202514,54.7
WI,Future output prices,202514,64.0
WI,Future input prices,202514,72.1
WV,Current performance,202514,52.3
WV,Revenues,202514,44.0
WV,Employees,202514,45.5
WV,Hours,202514,43.1
WV,Delivery time,202514,53.3
WV,Demand,202514,46.4
WV,Output prices,202514,55.9
WV,Input prices,202514,61.6
WV,Future performance,202514,50.4
WV,Future employees,202514,49.3
WV,Future hours,202514,48.1
WV,Future delivery time,202514,53.3
WV,Future demand,202514,50.2
WV,Future output prices,202514,59.5
WV,Future input prices,202514,62.3
WY,Current performance,202514,47.2
WY,Revenues,202514,39.3
WY,Employees,202514,46.8
WY,Hours,202514,46.6
WY,Delivery time,202514,55.1
WY,Demand,202514,42.9
WY,Output prices,202514,50.0
WY,Input prices,202514,64.7
WY,Future performance,202514,48.1
WY,Future employees,202514,45.3
WY,Future hours,202514,45.5
WY,Future delivery time,202514,52.9
WY,Future demand,202514,46.9
WY,Future output prices,202514,59.1
WY,Future input prices,202514,77.8
,,202514,
"Source: U.S. Census Bureau, Business Trends and Outlook Survey (BTOS) 2023-2025. The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data (Project No. P-7529868, Disclosure Review Board (DRB) approval numbers: CBDRB-FY25-0425).",,202514,
AK,Current performance,202513,53.2
AK,Revenues,202513,47.1
AK,Employees,202513,49.0
AK,Hours,202513,45.9
AK,Delivery time,202513,50.6
AK,Demand,202513,51.2
AK,Output prices,202513,52.6
AK,Input prices,202513,64.1
AK,Future performance,202513,55.4
AK,Future employees,202513,49.2
AK,Future hours,202513,51.0
AK,Future delivery time,202513,52.4
AK,Future demand,202513,44.8
AK,Future output prices,202513,60.7
