state,indicator,cycle,index_value
NM,Employees,202605,47.4
NM,Hours,202605,45.9
NM,Delivery time,202605,51.9
NM,Demand,202605,49.5
NM,Output prices,202605,53.9
NM,Input prices,202605,66.6
NM,Future performance,202605,60.2
NM,Future employees,202605,54.8
NM,Future hours,202605,55.1
NM,Future delivery time,202605,50.5
NM,Future demand,202605,60.0
NM,Future output prices,202605,69.5
NM,Future input prices,202605,72.3
NV,Current performance,202605,50.1
NV,Revenues,202605,38.4
NV,Employees,202605,44.1
NV,Hours,202605,41.5
NV,Delivery time,202605,51.7
NV,Demand,202605,39.1
NV,Output prices,202605,53.7
NV,Input prices,202605,64.4
NV,Future performance,202605,53.2
NV,Future employees,202605,53.1
NV,Future hours,202605,51.8
NV,Future delivery time,202605,53.4
NV,Future demand,202605,50.0
NV,Future output prices,202605,63.1
NV,Future input prices,202605,68.9
NY,Current performance,202605,50.9
NY,Revenues,202605,37.7
NY,Employees,202605,48.0
NY,Hours,202605,45.1
NY,Delivery time,202605,53.5
NY,Demand,202605,41.5
NY,Output prices,202605,56.5
NY,Input prices,202605,68.1
NY,Future performance,202605,51.8
NY,Future employees,202605,51.7
NY,Future hours,202605,52.7
NY,Future delivery time,202605,53.2
NY,Future demand,202605,54.8
NY,Future output prices,202605,63.4
NY,Future input prices,202605,73.5
OH,Current performance,202605,57.0
OH,Revenues,202605,43.0
OH,Employees,202605,47.7
OH,Hours,202605,46.9
OH,Delivery time,202605,52.2
OH,Demand,202605,46.3
OH,Output prices,202605,57.8
OH,Input prices,202605,68.6
OH,Future performance,202605,57.3
OH,Future employees,202605,54.7
OH,Future hours,202605,55.1
OH,Future delivery time,202605,53.4
OH,Future demand,202605,58.8
OH,Future output prices,202605,65.2
OH,Future input prices,202605,75.0
OK,Current performance,202605,58.8
OK,Revenues,202605,43.8
OK,Employees,202605,47.9
OK,Hours,202605,46.5
OK,Delivery time,202605,53.6
OK,Demand,202605,43.9
OK,Output prices,202605,56.3
OK,Input prices,202605,68.4
OK,Future performance,202605,58.5
OK,Future employees,202605,54.5
OK,Future hours,202605,55.7
OK,Future delivery time,202605,53.1
OK,Future demand,202605,55.3
OK,Future output prices,202605,64.4
OK,Future input prices,202605,74.1
OR,Current performance,202605,51.6
OR,Revenues,202605,38.8
OR,Employees,202605,44.2
OR,Hours,202605,40.4
OR,Delivery time,202605,54.3
OR,Demand,202605,40.9
OR,Output prices,202605,56.3
OR,Input prices,202605,73.3
OR,Future performance,202605,52.9
OR,Future employees,202605,49.3
OR,Future hours,202605,50.0
OR,Future delivery time,202605,54.3
OR,Future demand,202605,54.3
OR,Future output prices,202605,66.9
OR,Future input prices,202605,79.4
PA,Current performance,202605,55.7
PA,Revenues,202605,42.0
PA,Employees,202605,47.3
PA,Hours,202605,44.9
PA,Delivery time,202605,51.6
PA,Demand,202605,45.5
PA,Output prices,202605,56.7
PA,Input prices,202605,68.7
PA,Future performance,202605,56.5
PA,Future employees,202605,55.6
PA,Future hours,202605,57.0
PA,Future delivery time,202605,52.0
PA,Future demand,202605,57.6
PA,Future output prices,202605,63.9
PA,Future input prices,202605,74.7
RI,Current performance,202605,53.7
RI,Revenues,202605,34.6
RI,Employees,202605,46.0
RI,Hours,202605,41.2
RI,Delivery time,202605,51.5
RI,Demand,202605,39.6
RI,Output prices,202605,53.9
RI,Input prices,202605,65.2
RI,Future performance,202605,53.5
RI,Future employees,202605,52.0
RI,Future hours,202605,52.3
RI,Future delivery time,202605,48.8
RI,Future demand,202605,50.2
RI,Future output prices,202605,62.8
RI,Future input prices,202605,72.2
SC,Current performance,202605,57.3
SC,Revenues,202605,48.1
SC,Employees,202605,49.7
SC,Hours,202605,47.4
SC,Delivery time,202605,52.5
SC,Demand,202605,49.0
SC,Output prices,202605,55.3
SC,Input prices,202605,67.8
SC,Future performance,202605,60.3
SC,Future employees,202605,55.6
SC,Future hours,202605,54.2
SC,Future delivery time,202605,53.4
SC,Future demand,202605,59.8
SC,Future output prices,202605,66.5
SC,Future input prices,202605,72.1
SD,Current performance,202605,56.3
SD,Revenues,202605,43.2
SD,Employees,202605,45.4
SD,Hours,202605,44.6
SD,Delivery time,202605,54.9
SD,Demand,202605,43.0
SD,Output prices,202605,59.4
SD,Input prices,202605,71.5
SD,Future performance,202605,56.7
SD,Future employees,202605,53.4
SD,Future hours,202605,54.5
SD,Future delivery time,202605,53.4
SD,Future demand,202605,52.4
SD,Future output prices,202605,66.7
SD,Future input prices,202605,79.9
TN,Current performance,202605,53.6
TN,Revenues,202605,43.1
TN,Employees,202605,47.0
TN,Hours,202605,48.9
TN,Delivery time,202605,54.1
TN,Demand,202605,43.4
TN,Output prices,202605,53.4
TN,Input prices,202605,67.5
TN,Future performance,202605,56.2
TN,Future employees,202605,53.7
TN,Future hours,202605,53.5
TN,Future delivery time,202605,50.9
TN,Future demand,202605,57.0
TN,Future output prices,202605,66.3
TN,Future input prices,202605,75.3
TX,Current performance,202605,52.4
TX,Revenues,202605,40.7
TX,Employees,202605,47.4
TX,Hours,202605,45.6
TX,Delivery time,202605,52.5
TX,Demand,202605,43.4
TX,Output prices,202605,55.2
TX,Input prices,202605,68.4
TX,Future performance,202605,53.6
TX,Future employees,202605,51.1
TX,Future hours,202605,50.4
TX,Future delivery time,202605,53.0
TX,Future demand,202605,54.5
TX,Future output prices,202605,63.0
TX,Future input prices,202605,73.2
UT,Current performance,202605,54.4
UT,Revenues,202605,39.4
UT,Employees,202605,48.9
UT,Hours,202605,45.2
UT,Delivery time,202605,56.3
UT,Demand,202605,45.2
UT,Output prices,202605,54.6
UT,Input prices,202605,66.4
UT,Future performance,202605,55.0
UT,Future employees,202605,54.0
UT,Future hours,202605,55.8
UT,Future delivery time,202605,52.2
UT,Future demand,202605,56.5
UT,Future output prices,202605,60.1
UT,Future input prices,202605,72.0
VA,Current performance,202605,54.5
VA,Revenues,202605,43.8
VA,Employees,202605,47.6
VA,Hours,202605,44.0
VA,Delivery time,202605,51.7
VA,Demand,202605,44.2
VA,Output prices,202605,56.3
VA,Input prices,202605,70.4
VA,Future performance,202605,56.5
VA,Future employees,202605,52.3
VA,Future hours,202605,54.6
VA,Future delivery time,202605,52.4
VA,Future demand,202605,57.8
VA,Future output prices,202605,64.9
VA,Future input prices,202605,74.4
VT,Current performance,202605,55.3
VT,Revenues,202605,50.5
VT,Employees,202605,49.8
VT,Hours,202605,49.8
VT,Delivery time,202605,65.7
VT,Demand,202605,45.3
VT,Output prices,202605,68.1
VT,Input prices,202605,75.9
VT,Future performance,202605,58.6
VT,Future employees,202605,55.6
VT,Future hours,202605,53.4
VT,Future delivery time,202605,61.1
VT,Future demand,202605,54.8
VT,Future output prices,202605,76.5
